PROVIDER_ID,Hospital_Name,Hospital_Type,Address,City,State,ZIP_Code,County_Name,MEASURE_ID,MEASURE_DESCRIPTION,HOSPITAL_PERFORMANCE,DENOMINATOR,FOOTNOTE,RPTG_PRD_START_DT,RPTG_PRD_END_DT
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","Los Angeles","PCH-14","Radiation Dose Limits to Normal Tissues","100","33","","01/01/2016","12/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","Los Angeles","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","99","249","","01/01/2016","12/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","Los Angeles","PCH-16","Medical and Radiation - Pain Intensity Quantified","98","2023","","01/01/2016","12/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","Los Angeles","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","100","35","","01/01/2016","12/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","Los Angeles","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","100","16","","01/01/2016","12/31/2016"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","Los Angeles","PCH-14","Radiation Dose Limits to Normal Tissues","Not Available","Not Available","5","01/01/2016","12/31/2016"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","Los Angeles","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","81","154","2","01/01/2016","12/31/2016"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","Los Angeles","PCH-16","Medical and Radiation - Pain Intensity Quantified","90","525","2","01/01/2016","12/31/2016"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","Los Angeles","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","Not Available","Not Available","1","01/01/2016","12/31/2016"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","Los Angeles","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","95","21","","01/01/2016","12/31/2016"
