"HOSPITAL_NAME","PROVIDER_ID","STATE","FISCAL_YEAR","DOMAIN_1_SCORE","DOMAIN_1_FOOTNOTE","DOMAIN_1_START_DATE","DOMAIN_1_END_DATE","PSI_90_W_Z_SCORE","PSI_90_FOOTNOTE","DOMAIN_2_SCORE","DOMAIN_2_FOOTNOTE","CLABSI_W_Z_SCORE","CLABSI_FOOTNOTE","CAUTI_W_Z_SCORE","CAUTI_FOOTNOTE","SSI_W_Z_SCORE","SSI_FOOTNOTE","MRSA_W_Z_SCORE","MRSA_FOOTNOTE","CDI_W_Z_SCORE","CDI_FOOTNOTE","DOMAIN_2_START_DATE","DOMAIN_2_END_DATE","TOTAL_HAC_SCORE","TOTAL_HAC_FOOTNOTE","PAYMENT_REDUCTION","PAYMENT_REDUCTION_FOOTNOTE"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","2018","-1.2795","","07/01/2014","09/30/2015","-1.2795","","0.4826","","1.6280","","1.3847","","0.1619","","0.3071","","-1.0689","","01/01/2015","12/31/2016","0.2182","","No",""
"MARSHALL MEDICAL CENTERS","010005","AL","2018","-0.0362","","07/01/2014","09/30/2015","-0.0362","","-0.1814","","0.7790","","0.4575","","-1.1238","","0.3862","","-1.4060","","01/01/2015","12/31/2016","-0.1596","","No",""
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","2018","0.0340","","07/01/2014","09/30/2015","0.0340","","0.0409","","0.0433","","0.5594","","-0.1508","","0.7678","","-1.0153","","01/01/2015","12/31/2016","0.0398","","No",""
"MIZELL MEMORIAL HOSPITAL","010007","AL","2018","-0.4543","","07/01/2014","09/30/2015","-0.4543","","-1.7428","","Not Available","5","-1.5254","","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.5495","","No",""
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","2018","-0.0259","","07/01/2014","09/30/2015","-0.0259","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0259","","No",""
"ST. VINCENT'S EAST","010011","AL","2018","1.0537","","07/01/2014","09/30/2015","1.0537","","-0.2785","","0.4188","","-0.3677","","-0.1753","","-0.7663","","-0.5019","","01/01/2015","12/31/2016","-0.0787","","No",""
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","2018","-0.7708","","07/01/2014","09/30/2015","-0.7708","","-1.1103","","-1.5110","","-1.5254","","0.1723","","-1.4551","","-1.2323","","01/01/2015","12/31/2016","-1.0594","","No",""
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","2018","-0.5317","","07/01/2014","09/30/2015","-0.5317","","-0.4390","","-0.1275","","-0.1906","","-1.2181","","0.0294","","-0.6884","","01/01/2015","12/31/2016","-0.4529","","No",""
"CALLAHAN EYE HOSPITAL","010018","AL","2018","-1.3382","","07/01/2014","09/30/2015","-1.3382","","Not Available","4","Not Available","4","Not Available","4","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","Not Available","4","No",""
"HELEN KELLER HOSPITAL","010019","AL","2018","-0.4434","","07/01/2014","09/30/2015","-0.4434","","0.2217","","1.1037","","-0.7486","","-0.1665","","2.2236","","-1.3039","","01/01/2015","12/31/2016","0.1219","","No",""
"DALE MEDICAL CENTER","010021","AL","2018","0.0417","","07/01/2014","09/30/2015","0.0417","","-0.9672","","Not Available","5","-0.1121","","Not Available","5","Not Available","5","-1.8223","","01/01/2015","12/31/2016","-0.8159","","No",""
"CHEROKEE MEDICAL CENTER","010022","AL","2018","-0.0239","","07/01/2014","09/30/2015","-0.0239","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.6698","","No",""
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","2018","-1.2592","","07/01/2014","09/30/2015","-1.2592","","0.3559","","0.9921","","0.2738","","-0.8862","","0.5149","","0.8849","","01/01/2015","12/31/2016","0.1136","","No",""
"JACKSON HOSPITAL & CLINIC INC","010024","AL","2018","1.4305","","07/01/2014","09/30/2015","1.4305","","1.0032","","2.1946","","0.2671","","0.0920","","1.9451","","0.5171","","01/01/2015","12/31/2016","1.0673","","Yes",""
"EAST ALABAMA MEDICAL CENTER AND SNF","010029","AL","2018","-0.2230","","07/01/2014","09/30/2015","-0.2230","","-0.0111","","0.2006","","0.1167","","-0.3482","","0.6406","","-0.6654","","01/01/2015","12/31/2016","-0.0429","","No",""
"WEDOWEE HOSPITAL","010032","AL","2018","-0.0103","","07/01/2014","09/30/2015","-0.0103","","Not Available","4","Not Available","4","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","Not Available","4","No",""
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","2018","0.1928","","07/01/2014","09/30/2015","0.1928","","0.0062","","0.4424","","-0.9206","","0.1881","","0.8360","","-0.5147","","01/01/2015","12/31/2016","0.0342","","No",""
"COMMUNITY HOSPITAL INC","010034","AL","2018","-0.1055","","07/01/2014","09/30/2015","-0.1055","","0.3038","","Not Available","5","0.1084","","Not Available","5","Not Available","5","0.4992","","01/01/2015","12/31/2016","0.2424","","No",""
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","2018","0.3713","","07/01/2014","09/30/2015","0.3713","","-0.5125","","-0.8210","","-0.1405","","-1.0522","","0.8826","","-1.4316","","01/01/2015","12/31/2016","-0.3800","","No",""
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","2018","-0.4019","","07/01/2014","09/30/2015","-0.4019","","-0.7931","","Not Available","5","-1.5254","","Not Available","5","-0.0125","","-0.8416","","01/01/2015","12/31/2016","-0.7345","","No",""
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","2018","0.1379","","07/01/2014","09/30/2015","0.1379","","0.4532","","0.1126","","0.9771","","1.0615","","Not Available","5","-0.3385","","01/01/2015","12/31/2016","0.4059","","Yes",""
"HUNTSVILLE HOSPITAL","010039","AL","2018","0.9955","","07/01/2014","09/30/2015","0.9955","","0.2467","","1.2052","","0.2738","","0.0675","","0.6716","","-0.9846","","01/01/2015","12/31/2016","0.3590","","No",""
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","2018","0.5761","","07/01/2014","09/30/2015","0.5761","","-0.7583","","-0.8142","","-0.9390","","-1.4872","","0.2063","","-0.7573","","01/01/2015","12/31/2016","-0.5581","","No",""
"MARION REGIONAL MEDICAL CENTER","010044","AL","2018","-0.0130","","07/01/2014","09/30/2015","-0.0130","","-0.2669","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.2669","","01/01/2015","12/31/2016","-0.2289","","No",""
"FAYETTE MEDICAL CENTER","010045","AL","2018","-0.2189","","07/01/2014","09/30/2015","-0.2189","","2.0549","","Not Available","5","2.1498","","Not Available","5","Not Available","5","1.9601","","01/01/2015","12/31/2016","1.7139","","Yes",""
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","2018","-0.6483","","07/01/2014","09/30/2015","-0.6483","","0.0540","","-0.4996","","1.9660","","-1.4872","","1.1168","","-0.8263","","01/01/2015","12/31/2016","-0.0514","","No",""
"GEORGIANA MEDICAL CENTER","010047","AL","2018","-0.0438","","07/01/2014","09/30/2015","-0.0438","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0438","","No",""
"MEDICAL CENTER ENTERPRISE","010049","AL","2018","-0.6255","","07/01/2014","09/30/2015","-0.6255","","-0.5434","","Not Available","5","0.0015","","-0.8234","","Not Available","5","-0.8084","","01/01/2015","12/31/2016","-0.5557","","No",""
"GREENE COUNTY HOSPITAL","010051","AL","2018","-0.0130","","07/01/2014","09/30/2015","-0.0130","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0130","","No",""
"LAKE MARTIN COMMUNITY HOSPITAL","010052","AL","2018","0.0011","","07/01/2014","09/30/2015","0.0011","","Not Available","4","Not Available","4","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","Not Available","4","No",""
"FLOWERS HOSPITAL","010055","AL","2018","-0.4752","","07/01/2014","09/30/2015","-0.4752","","-0.1530","","-0.3119","","0.8117","","-0.0757","","-0.4344","","-0.7548","","01/01/2015","12/31/2016","-0.2013","","No",""
"ST VINCENT'S BIRMINGHAM","010056","AL","2018","0.7357","","07/01/2014","09/30/2015","0.7357","","0.0001","","0.7672","","-0.2641","","-0.4321","","0.5491","","-0.6194","","01/01/2015","12/31/2016","0.1105","","No",""
"BIBB MEDICAL CENTER","010058","AL","2018","-0.0197","","07/01/2014","09/30/2015","-0.0197","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0197","","No",""
"LAWRENCE MEDICAL CENTER","010059","AL","2018","-0.0518","","07/01/2014","09/30/2015","-0.0518","","1.9601","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","1.9601","","01/01/2015","12/31/2016","1.6583","","Yes",""
"HIGHLANDS MEDICAL CENTER","010061","AL","2018","-0.5336","","07/01/2014","09/30/2015","-0.5336","","0.8332","","2.1946","","1.5016","","1.0755","","-0.0528","","-0.5530","","01/01/2015","12/31/2016","0.6282","","Yes",""
"WIREGRASS MEDICAL CENTER","010062","AL","2018","-0.5608","","07/01/2014","09/30/2015","-0.5608","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.7503","","No",""
"RUSSELL HOSPITAL","010065","AL","2018","-0.9325","","07/01/2014","09/30/2015","-0.9325","","-1.1180","","-1.5110","","-1.3667","","Not Available","5","Not Available","5","-0.4764","","01/01/2015","12/31/2016","-1.0902","","No",""
"MEDICAL CENTER BARBOUR","010069","AL","2018","0.2786","","07/01/2014","09/30/2015","0.2786","","0.0114","","Not Available","5","1.4314","","Not Available","5","Not Available","5","-1.4086","","01/01/2015","12/31/2016","0.0515","","No",""
"CLAY COUNTY HOSPITAL","010073","AL","2018","-0.0679","","07/01/2014","09/30/2015","-0.0679","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0679","","No",""
"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","010078","AL","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","-0.1598","","0.2192","","0.2788","","-1.4872","","1.0703","","-0.8799","","01/01/2015","12/31/2016","0.2132","","No",""
"ATHENS LIMESTONE HOSPITAL","010079","AL","2018","1.0068","","07/01/2014","09/30/2015","1.0068","","0.3836","","2.1946","","0.0098","","-1.4872","","1.6132","","-0.4125","","01/01/2015","12/31/2016","0.4771","","Yes",""
"SOUTH BALDWIN REGIONAL MEDICAL CENTER","010083","AL","2018","0.1639","","07/01/2014","09/30/2015","0.1639","","-0.6225","","-1.5110","","-0.5899","","0.4501","","-0.7710","","-0.6909","","01/01/2015","12/31/2016","-0.5046","","No",""
"DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","010085","AL","2018","0.2060","","07/01/2014","09/30/2015","0.2060","","-0.5721","","-0.9089","","-0.4095","","0.3750","","-0.5212","","-1.3958","","01/01/2015","12/31/2016","-0.4554","","No",""
"NORTHWEST MEDICAL CENTER","010086","AL","2018","-0.5478","","07/01/2014","09/30/2015","-0.5478","","0.7754","","Not Available","5","2.1498","","Not Available","5","Not Available","5","-0.5990","","01/01/2015","12/31/2016","0.5769","","Yes",""
"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","010087","AL","2018","-0.2154","","07/01/2014","09/30/2015","-0.2154","","1.2475","","2.1946","","0.5561","","2.1044","","1.4860","","-0.1035","","01/01/2015","12/31/2016","1.0281","","Yes",""
"WALKER BAPTIST MEDICAL CENTER","010089","AL","2018","-0.7608","","07/01/2014","09/30/2015","-0.7608","","-0.1777","","0.9583","","-1.0526","","-1.4872","","0.6840","","0.0089","","01/01/2015","12/31/2016","-0.2652","","No",""
"PROVIDENCE HOSPITAL","010090","AL","2018","1.0420","","07/01/2014","09/30/2015","1.0420","","-0.1222","","0.1938","","-0.6049","","0.0309","","0.1256","","-0.3563","","01/01/2015","12/31/2016","0.0524","","No",""
"GROVE HILL MEMORIAL HOSPITAL","010091","AL","2018","-0.0420","","07/01/2014","09/30/2015","-0.0420","","-0.3589","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.3589","","01/01/2015","12/31/2016","-0.3114","","No",""
"D C H REGIONAL MEDICAL CENTER","010092","AL","2018","0.2028","","07/01/2014","09/30/2015","0.2028","","-0.0078","","1.0124","","-0.3510","","-0.1438","","-0.2948","","-0.2618","","01/01/2015","12/31/2016","0.0238","","No",""
"HALE COUNTY HOSPITAL","010095","AL","2018","-0.0229","","07/01/2014","09/30/2015","-0.0229","","Not Available","4","Not Available","4","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","Not Available","4","No",""
"ELMORE COMMUNITY HOSPITAL","010097","AL","2018","-0.0352","","07/01/2014","09/30/2015","-0.0352","","Not Available","4","Not Available","4","Not Available","4","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","Not Available","4","No",""
"D W MCMILLAN MEMORIAL HOSPITAL","010099","AL","2018","-0.4679","","07/01/2014","09/30/2015","-0.4679","","1.0813","","Not Available","5","2.1498","","-0.3500","","Not Available","5","1.4442","","01/01/2015","12/31/2016","0.8490","","Yes",""
"THOMAS HOSPITAL","010100","AL","2018","-1.1995","","07/01/2014","09/30/2015","-1.1995","","-0.1050","","0.0264","","0.3439","","0.3121","","0.3955","","-1.6027","","01/01/2015","12/31/2016","-0.2691","","No",""
"CITIZENS BMC","010101","AL","2018","-0.2103","","07/01/2014","09/30/2015","-0.2103","","-0.8578","","Not Available","5","-0.2073","","Not Available","5","Not Available","5","-1.5082","","01/01/2015","12/31/2016","-0.7606","","No",""
"J PAUL JONES HOSPITAL","010102","AL","2018","-0.0033","","07/01/2014","09/30/2015","-0.0033","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0033","","No",""
"BAPTIST MEDICAL CENTER-PRINCETON","010103","AL","2018","-0.5315","","07/01/2014","09/30/2015","-0.5315","","0.3512","","1.4099","","0.5979","","-1.3195","","1.0129","","0.0549","","01/01/2015","12/31/2016","0.2188","","No",""
"GRANDVIEW MEDICAL CENTER","010104","AL","2018","0.3167","","07/01/2014","09/30/2015","0.3167","","-0.6894","","-0.5605","","-0.4863","","-1.2968","","0.3536","","-1.4571","","01/01/2015","12/31/2016","-0.5385","","No",""
"PRATTVILLE BAPTIST HOSPITAL","010108","AL","2018","-0.1746","","07/01/2014","09/30/2015","-0.1746","","-0.0516","","1.0056","","-1.5254","","0.2510","","Not Available","5","0.0625","","01/01/2015","12/31/2016","-0.0700","","No",""
"PICKENS COUNTY MEDICAL CENTER","010109","AL","2018","-0.0205","","07/01/2014","09/30/2015","-0.0205","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0205","","No",""
"BULLOCK COUNTY HOSPITAL","010110","AL","2018","-0.0239","","07/01/2014","09/30/2015","-0.0239","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.6698","","No",""
"BRYAN W. WHITFIELD MEMORIAL HOSPITAL","010112","AL","2018","-0.1901","","07/01/2014","09/30/2015","-0.1901","","0.7495","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","0.7495","","01/01/2015","12/31/2016","0.6086","","Yes",""
"MOBILE INFIRMARY MEDICAL CENTER","010113","AL","2018","1.3341","","07/01/2014","09/30/2015","1.3341","","0.0715","","1.3388","","0.0650","","-0.1927","","0.0542","","-0.9080","","01/01/2015","12/31/2016","0.2608","","No",""
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","010114","AL","2018","0.6656","","07/01/2014","09/30/2015","0.6656","","0.9351","","2.0948","","0.6647","","0.5392","","2.2236","","-0.8467","","01/01/2015","12/31/2016","0.8947","","Yes",""
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","010118","AL","2018","-1.4788","","07/01/2014","09/30/2015","-1.4788","","0.0419","","-0.1377","","-0.6049","","-1.4872","","2.2236","","0.2158","","01/01/2015","12/31/2016","-0.1862","","No",""
"MONROE COUNTY HOSPITAL","010120","AL","2018","-0.0595","","07/01/2014","09/30/2015","-0.0595","","-1.2885","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.2885","","01/01/2015","12/31/2016","-1.1042","","No",""
"LAKELAND COMMUNITY HOSPITAL","010125","AL","2018","-0.0674","","07/01/2014","09/30/2015","-0.0674","","-0.9923","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.9923","","01/01/2015","12/31/2016","-0.8535","","No",""
"TROY REGIONAL MEDICAL CENTER","010126","AL","2018","-0.0201","","07/01/2014","09/30/2015","-0.0201","","-1.4967","","Not Available","5","-1.5254","","-1.4872","","Not Available","5","-1.4775","","01/01/2015","12/31/2016","-1.2752","","No",""
"JACKSON MEDICAL CENTER","010128","AL","2018","-0.0159","","07/01/2014","09/30/2015","-0.0159","","Not Available","4","Not Available","4","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","Not Available","4","No",""
"NORTH BALDWIN INFIRMARY","010129","AL","2018","-0.1203","","07/01/2014","09/30/2015","-0.1203","","0.5773","","Not Available","5","0.1184","","1.7655","","Not Available","5","-0.1520","","01/01/2015","12/31/2016","0.4726","","Yes",""
"ST VINCENT'S ST CLAIR","010130","AL","2018","-0.3315","","07/01/2014","09/30/2015","-0.3315","","-0.9896","","-1.5110","","-0.3994","","-1.4872","","Not Available","5","-0.5607","","01/01/2015","12/31/2016","-0.8909","","No",""
"CRESTWOOD MEDICAL CENTER","010131","AL","2018","-0.1320","","07/01/2014","09/30/2015","-0.1320","","0.6658","","2.1946","","1.3546","","1.7340","","-1.1510","","-0.8033","","01/01/2015","12/31/2016","0.5461","","Yes",""
"HILL HOSPITAL OF SUMTER COUNTY","010138","AL","2018","-0.0200","","07/01/2014","09/30/2015","-0.0200","","Not Available","4","Not Available","4","Not Available","4","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","Not Available","4","No",""
"BROOKWOOD MEDICAL CENTER","010139","AL","2018","-0.4536","","07/01/2014","09/30/2015","-0.4536","","-0.1274","","1.3625","","-0.5581","","-0.6260","","0.3071","","-1.1225","","01/01/2015","12/31/2016","-0.1763","","No",""
"SPRINGHILL MEDICAL CENTER","010144","AL","2018","0.6199","","07/01/2014","09/30/2015","0.6199","","0.2088","","0.4205","","1.3312","","0.4239","","-0.0295","","-1.1021","","01/01/2015","12/31/2016","0.2704","","No",""
"RMC JACKSONVILLE","010146","AL","2018","-0.0296","","07/01/2014","09/30/2015","-0.0296","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.6706","","No",""
"EVERGREEN MEDICAL CENTER","010148","AL","2018","-0.0736","","07/01/2014","09/30/2015","-0.0736","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.6772","","No",""
"BAPTIST MEDICAL CENTER EAST","010149","AL","2018","-1.1350","","07/01/2014","09/30/2015","-1.1350","","-0.2818","","0.7435","","-0.8438","","-0.9945","","-0.4763","","0.1621","","01/01/2015","12/31/2016","-0.4098","","No",""
"L V STABLER MEMORIAL HOSPITAL","010150","AL","2018","-0.4047","","07/01/2014","09/30/2015","-0.4047","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.7269","","No",""
"SHOALS HOSPITAL","010157","AL","2018","0.0672","","07/01/2014","09/30/2015","0.0672","","0.0642","","-1.5110","","0.9988","","0.5636","","Not Available","5","0.2055","","01/01/2015","12/31/2016","0.0647","","No",""
