"Provider_Number","Hospital_Name","Address","City","State","ZIP_Code","County_Name","FUH_Measure_Description","FUH-30_%","FUH-30_Numerator","FUH-30_Denominator","FUH-30_Footnote","FUH-7_%","FUH-7_Numerator","FUH-7_Denominator","FUH-7_Footnote","FUH_Measure_Start_Date","FUH_Measure_End_Date"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN STREET PO BOX 1010","OPP","AL","36467","Covington","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","Crenshaw","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","54.26","51","94","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010011","ST. VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","Jefferson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","67.74","21","31","","35.48","11","31","","07/01/2015","06/30/2016"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DeKalb","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","Shelby","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.06","62","129","","20.93","27","129","","07/01/2015","06/30/2016"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","Dale","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","56.45","35","62","","33.87","21","62","","07/01/2015","06/30/2016"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","Montgomery","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","35.64","67","188","","15.96","30","188","","07/01/2015","06/30/2016"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619  19TH STREET SOUTH","BIRMINGHAM","AL","35249","Jefferson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","51.28","60","117","","29.91","35","117","","07/01/2015","06/30/2016"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","Elmore","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","61.90","13","21","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","Madison","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","41.88","67","160","","20.00","32","160","","07/01/2015","06/30/2016"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL","35903","Etowah","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL","35901","Etowah","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL","36340","Geneva","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","60.00","24","40","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL","36027","Barbour","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON","AL","36207","Calhoun","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","40.78","42","103","","18.45","19","103","","07/01/2015","06/30/2016"
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","1201 7TH STREET SE","DECATUR","AL","35601","Morgan","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","58.51","55","94","","38.30","36","94","","07/01/2015","06/30/2016"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43 P O BOX 130","WINFIELD","AL","35594","Fayette","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","64.00","16","25","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","AL","35502","Walker","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","53.55","83","155","","34.19","53","155","","07/01/2015","06/30/2016"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 SOUTH JACKSON ST","GROVE HILL","AL","36451","Clarke","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL","35401","Tuscaloosa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","26.70","47","176","","18.18","32","176","","07/01/2015","06/30/2016"
"010101","CITIZENS BMC","604 STONE AVENUE","TALLADEGA","AL","35160","Talladega","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL","35211","Jefferson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","44.12","15","34","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","BIRMINGHAM","AL","35243","Jefferson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","60.53","23","38","","34.21","13","38","","07/01/2015","06/30/2016"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON DRIVE","CARROLLTON","AL","35447","Pickens","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010110","BULLOCK COUNTY HOSPITAL","102 CONECUH AVENUE WEST","UNION SPRINGS","AL","36089","Bullock","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","23.08","18","78","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","DEMOPOLIS","AL","36732","Marengo","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","60.00","12","20","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL","36607","Mobile","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","51.19","43","84","","25.00","21","84","","07/01/2015","06/30/2016"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL","35022","Jefferson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","HALEYVILLE","AL","35565","Winston","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL","36507","Baldwin","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.38","11","21","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010139","BROOKWOOD BAPTIST MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL","35209","Jefferson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","45.56","164","360","","25.00","90","360","","07/01/2015","06/30/2016"
"010146","RMC JACKSONVILLE","1701 SOUTH PELHAM ROAD","JACKSONVILLE","AL","36265","Calhoun","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL","36037","Butler","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL","35661","Colbert","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","77.42","24","31","","58.06","18","31","","07/01/2015","06/30/2016"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","AL","35150","Talladega","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"014000","HILL CREST BEHAVIORAL HEALTH SERVICES","6869 5TH AVENUE SOUTH","BIRMINGHAM","AL","35212","Jefferson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"014006","MOUNTAIN VIEW HOSPITAL","3001 SCENIC HIGHWAY","GADSDEN","AL","35904","Etowah","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","44.26","27","61","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
