Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote, SUB-2/-2a_Measure_Description,SUB-2_%,SUB-2_Numerator,SUB-2_Denominator,SUB-2_Footnote ,SUB-2a_%,SUB-2a_Numerator,SUB-2a_Denominator,SUB-2a_Footnote , TOB-1_Measure_Description,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2a_Denominator,TOB-2a_Footnote,TOB-3/-3a_Measure_Description,TOB-3_%,TOB-3_Numerator,TOB-3_Denominator,TOB-3_Footnote,TOB-3a_%,TOB-3a_Numerator,TOB-3a_Denominator,TOB-3a_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_Measure_Description,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_Measure_Description,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN STREET PO BOX 1010","OPP","AL","36467","Covington","Hours of physical-restraint use","Not Available","0","0","7","Hours of seclusion","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","15","15","","Alcohol Use Screening","Not Available","Not Available","Not Available","1","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","242","242","","Tobacco Use Treatment (during the hospital stay)","100.00%","62","62","","66.13%","41","62","","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","70","","0.00%","0","70","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","Not Available","Not Available","Not Available","1","Healthcare Personnel Influenza Vaccination","41%","13","32","","10/01/2016","03/31/2017"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE ","LUVERNE","AL","36049","Crenshaw","Hours of physical-restraint use","0.09","12.15","5759","","Hours of seclusion","0.02","2.8","5759","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","219","219","","Alcohol Use Screening","99.15%","581","586","","Alcohol Use Brief Intervention Provided or Offered","52.14%","73","140","","38.57%","54","140","","Tobacco Use Screening","99.49%","583","586","","Tobacco Use Treatment (during the hospital stay)","89.14%","361","405","","49.88%","202","405","","Tobacco Use Treatment Provided or Offered at Discharge","68.73%","222","323","","27.24%","88","323","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","87.93%","255","290","","Healthcare Personnel Influenza Vaccination","60%","31","52","","10/01/2016","03/31/2017"
"010011","ST. VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE ","BIRMINGHAM","AL","35235","Jefferson","Hours of physical-restraint use","0.00","0","10671","","Hours of seclusion","0.00","1.25","10671","","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00%","0","45","","Alcohol Use Screening","27.30%","89","326","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","92.86%","312","336","","Tobacco Use Treatment (during the hospital stay)","37.50%","18","48","","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","36","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","69.09%","114","165","","Healthcare Personnel Influenza Vaccination","60%","106","176","","10/01/2016","03/31/2017"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE ","FORT PAYNE","AL","35968","DeKalb","Hours of physical-restraint use","0.00","0","2990","","Hours of seclusion","0.00","0","2990","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","99.52%","208","209","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","205","205","","Tobacco Use Treatment (during the hospital stay)","91.43%","32","35","","80.00%","28","35","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","12","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","100.00%","88","88","","Healthcare Personnel Influenza Vaccination","100%","43","43","","10/01/2016","03/31/2017"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH ","ALABASTER","AL","35007","Shelby","Hours of physical-restraint use","0.03","12.47","17906","","Hours of seclusion","0.02","8.98","17906","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","99.49%","581","584","","Alcohol Use Brief Intervention Provided or Offered","96.52%","111","115","","91.30%","105","115","","Tobacco Use Screening","100.00%","602","602","","Tobacco Use Treatment (during the hospital stay)","96.19%","303","315","","89.84%","283","315","","Tobacco Use Treatment Provided or Offered at Discharge","97.20%","278","286","","97.20%","278","286","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","100.00%","317","317","","Healthcare Personnel Influenza Vaccination","96%","81","84","","10/01/2016","03/31/2017"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE ","OZARK","AL","36360","Dale","Hours of physical-restraint use","0.00","0","3127","","Hours of seclusion","1.72","129.32","3127","","Patients discharged on multiple antipsychotic medications with appropriate justification","85.71%","36","42","","Alcohol Use Screening","100.00%","219","219","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","189","189","","Tobacco Use Treatment (during the hospital stay)","100.00%","35","35","","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","20.29%","14","69","","Healthcare Personnel Influenza Vaccination","100%","20","20","","10/01/2016","03/31/2017"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD ","MONTGOMERY","AL","36116","Montgomery","Hours of physical-restraint use","0.04","13.78","14334","","Hours of seclusion","0.02","5.92","14334","","Patients discharged on multiple antipsychotic medications with appropriate justification","17.33%","13","75","","Alcohol Use Screening","95.04%","1189","1251","","Alcohol Use Brief Intervention Provided or Offered","80.49%","198","246","","76.02%","187","246","","Tobacco Use Screening","99.49%","1546","1554","","Tobacco Use Treatment (during the hospital stay)","83.47%","717","859","","73.92%","635","859","","Tobacco Use Treatment Provided or Offered at Discharge","56.98%","461","809","","5.93%","48","809","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","94.80%","802","846","","Healthcare Personnel Influenza Vaccination","97%","359","371","","10/01/2016","03/31/2017"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619  19TH STREET SOUTH ","BIRMINGHAM","AL","35249","Jefferson","Hours of physical-restraint use","0.25","174.58","29342","","Hours of seclusion","1.36","958.32","29342","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","19","19","","Alcohol Use Screening","98.39%","427","434","","Alcohol Use Brief Intervention Provided or Offered","100.00%","101","101","","100.00%","101","101","","Tobacco Use Screening","97.87%","460","470","","Tobacco Use Treatment (during the hospital stay)","79.23%","225","284","","10.21%","29","284","","Tobacco Use Treatment Provided or Offered at Discharge","6.83%","17","249","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","96.06%","268","279","","Healthcare Personnel Influenza Vaccination","35%","78","226","","10/01/2016","03/31/2017"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD ","TALLASSEE","AL","36078","Elmore","Hours of physical-restraint use","0.00","0","2519","","Hours of seclusion","0.00","0","2519","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","94.01%","157","167","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","78.00%","117","150","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","Not Available","Not Available","Not Available","1","Healthcare Personnel Influenza Vaccination","Not Available","Not Available","Not Available","1","10/01/2016","03/31/2017"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD ","HUNTSVILLE","AL","35801","Madison","Hours of physical-restraint use","0.00","0","6534","","Hours of seclusion","0.00","0","6534","","Patients discharged on multiple antipsychotic medications with appropriate justification","81.25%","13","16","","Alcohol Use Screening","98.47%","321","326","","Alcohol Use Brief Intervention Provided or Offered","100.00%","52","52","","100.00%","52","52","","Tobacco Use Screening","99.55%","447","449","","Tobacco Use Treatment (during the hospital stay)","89.42%","186","208","","83.17%","173","208","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","99.33%","297","299","","Healthcare Personnel Influenza Vaccination","72%","51","71","","10/01/2016","03/31/2017"
