Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","Houston","0.850916","0.873053","0.850186","0.866270","7 out of 10","7 out of 9","7 out of 10","0.883421","0.907656","0.888060","0.885519","1 out of 10","0 out of 9","1 out of 10","0.882860","0.907900","0.877181","0.893777","4 out of 10","5 out of 9","5 out of 10"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","Marshall","0.850916","0.873053","0.836946","0.857280","3 out of 10","5 out of 9","5 out of 10","0.883421","0.907656","0.853765","0.845956","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.858520","0.851953","0 out of 10","0 out of 9","0 out of 10"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","Lauderdale","0.850916","0.873053","0.818278","0.843841","0 out of 10","4 out of 9","4 out of 10","0.883421","0.907656","0.884408","0.865407","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.848835","0.872522","0 out of 10","4 out of 9","4 out of 10"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","Covington","0.850916","0.873053","0.843930","0.867181","7 out of 10","Not Available","7 out of 10","0.883421","0.907656","0.863976","0.854747","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.836245","0.849107","0 out of 10","1 out of 9","1 out of 10"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","Jefferson","0.850916","0.873053","0.834080","0.863407","6 out of 10","7 out of 9","7 out of 10","0.883421","0.907656","0.889867","0.873002","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.823954","0.883768","1 out of 10","7 out of 9","7 out of 10"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DeKalb","0.850916","0.873053","0.840641","0.842346","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.840398","0.868469","0 out of 10","4 out of 9","4 out of 10","0.882860","0.907900","0.843534","0.834758","0 out of 10","0 out of 9","0 out of 10"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","Shelby","0.850916","0.873053","0.854265","0.839738","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.871128","0.871120","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.859767","0.906255","9 out of 10","9 out of 9","9 out of 10"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","Colbert","0.850916","0.873053","0.835137","0.857433","3 out of 10","5 out of 9","5 out of 10","0.883421","0.907656","0.875727","0.864715","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.854612","0.889920","3 out of 10","6 out of 9","6 out of 10"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","Dale","0.850916","0.873053","0.837658","0.863527","Not Available","Not Available","Not Available","0.883421","0.907656","0.887443","0.876979","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.888682","0.890432","3 out of 10","0 out of 9","3 out of 10"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","35960","Cherokee","0.850916","0.873053","0.849462","0.863643","Not Available","Not Available","Not Available","0.883421","0.907656","0.886973","0.870313","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.870644","0.881750","0 out of 10","2 out of 9","2 out of 10"
