Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,MSPB-1 Achievement Threshold,MSPB-1 Benchmark,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"110215","PIEDMONT FAYETTE HOSPITAL","1255 HIGHWAY 54 WEST","FAYETTEVILLE","GA","30214","Fayette","0.985777","0.832678","0.950527","0.962057","2 out of 10","0 out of 9","2 out of 10"
"230236","METRO HEALTH HOSPITAL","5900 BYRON CENTER AVENUE, SW","WYOMING","MI","49519","Kent","0.985777","0.832678","0.921788","0.939953","3 out of 10","0 out of 9","3 out of 10"
"520019","MINISTRY SAINT MARYS HOSPITAL","2251 NORTH SHORE DR","RHINELANDER","WI","54501","Oneida","0.985777","0.832678","0.843599","0.832790","9 out of 10","9 out of 9","9 out of 10"
"340141","NEW HANOVER REGIONAL MEDICAL CENTER","2131 S 17TH ST BOX 9000","WILMINGTON","NC","28402","New Hanover","0.985777","0.832678","0.966919","0.967548","2 out of 10","0 out of 9","2 out of 10"
"200020","YORK HOSPITAL","15 HOSPITAL DRIVE","YORK","ME","03909","York","0.985777","0.832678","0.966664","0.970079","1 out of 10","0 out of 9","1 out of 10"
"390058","CARLISLE REGIONAL MEDICAL CENTER","361 ALEXANDER SPRING ROAD","CARLISLE","PA","17015","Cumberland","0.985777","0.832678","1.040060","1.033966","0 out of 10","0 out of 9","0 out of 10"
"150146","PARKVIEW NOBLE HOSPITAL","401 SAWYER RD","KENDALLVILLE","IN","46755","Noble","0.985777","0.832678","0.967707","1.020623","0 out of 10","0 out of 9","0 out of 10"
"160124","LAKES REGIONAL HEALTHCARE","2301 HIGHWAY 71","SPIRIT LAKE","IA","51360","Dickinson","0.985777","0.832678","0.955868","0.934947","3 out of 10","1 out of 9","3 out of 10"
"110076","DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","DECATUR","GA","30033","DeKalb","0.985777","0.832678","1.013938","1.036321","0 out of 10","0 out of 9","0 out of 10"
"050517","VICTOR VALLEY GLOBAL MEDICAL CENTER","15248 11TH ST","VICTORVILLE","CA","92392","San Bernardino","0.985777","0.832678","0.987030","0.948419","3 out of 10","2 out of 9","3 out of 10"
"460026","SEVIER VALLEY HOSPITAL","1000 NORTH MAIN STREET","RICHFIELD","UT","84701","Sevier","0.985777","0.832678","1.070040","1.044898","0 out of 10","1 out of 9","1 out of 10"
"370202","HILLCREST HOSPITAL SOUTH","8801 SOUTH 101ST EAST AVENUE","TULSA","OK","74133","Tulsa","0.985777","0.832678","1.026520","0.974452","1 out of 10","2 out of 9","2 out of 10"
"470001","CENTRAL VERMONT MEDICAL CENTER","BOX 547","BARRE","VT","05641","Washington","0.985777","0.832678","0.949397","0.909821","5 out of 10","3 out of 9","5 out of 10"
"230269","BEAUMONT HOSPITAL, TROY","44201 DEQUINDRE ROAD","TROY","MI","48085","Oakland","0.985777","0.832678","1.008713","0.981322","1 out of 10","1 out of 9","1 out of 10"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","TARBORO","NC","27886","Edgecombe","0.985777","0.832678","0.925878","0.948899","3 out of 10","0 out of 9","3 out of 10"
"500044","MULTICARE DEACONESS HOSPITAL","W 800 FIFTH AVENUE","SPOKANE","WA","99210","Spokane","0.985777","0.832678","1.016045","0.989986","0 out of 10","1 out of 9","1 out of 10"
"230085","BRONSON SOUTH HAVEN HOSPITAL","955 S BAILEY AVE","SOUTH HAVEN","MI","49090","Van Buren","0.985777","0.832678","0.889934","0.911159","5 out of 10","0 out of 9","5 out of 10"
"510029","THOMAS MEMORIAL HOSPITAL","4605 MACCORKLE AVENUE SW","SOUTH CHARLESTON","WV","25309","Kanawha","0.985777","0.832678","0.918155","0.926825","4 out of 10","0 out of 9","4 out of 10"
"490116","LEWISGALE HOSPITAL PULASKI","2400 LEE HIGHWAY","PULASKI","VA","24301","Pulaski","0.985777","0.832678","1.005529","0.945669","3 out of 10","3 out of 9","3 out of 10"
"380029","LEGACY SILVERTON MEDICAL CENTER","342 FAIRVIEW STREET","SILVERTON","OR","97381","Marion","0.985777","0.832678","0.839355","0.882014","7 out of 10","0 out of 9","7 out of 10"
"450754","HAMILTON GENERAL HOSPITAL","400 N BROWN, BUILDING 1","HAMILTON","TX","76531","Hamilton","0.985777","0.832678","0.986153","1.039494","0 out of 10","0 out of 9","0 out of 10"
"390102","UPMC ST MARGARET","815 FREEPORT ROAD","PITTSBURGH","PA","15215","Allegheny","0.985777","0.832678","1.057873","1.057248","0 out of 10","0 out of 9","0 out of 10"
"170185","SAINT LUKE'S SOUTH HOSPITAL","12300 METCALF AVENUE","OVERLAND PARK","KS","66213","Johnson","0.985777","0.832678","0.971712","0.974157","1 out of 10","0 out of 9","1 out of 10"
