Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Care Transition Floor,Care Transition Achievement Threshold,Care Transition Benchmark,Care Transition Baseline Rate,Care Transition Performance Rate,Care Transition Achievement Points,Care Transition Improvement Points,Care Transition Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"240040","UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS","750 EAST 34TH ST","HIBBING","MN","55746","Saint Louis","55.27","78.52","86.68","82.61","80.22","2 out of 10","0 out of 9","2 out of 10","57.39","80.44","88.51","83.41","79.66","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","72.13","72.41","5 out of 10","0 out of 9","5 out of 10","25.21","51.45","62.44","51.31","52.27","1 out of 10","0 out of 9","1 out of 10","43.43","63.37","73.66","70.13","68.39","5 out of 10","0 out of 9","5 out of 10","40.05","65.60","79.00","69.56","70.60","4 out of 10","1 out of 9","4 out of 10","62.25","86.60","91.63","89.19","91.65","10 out of 10","9 out of 9","10 out of 10","37.67","70.23","84.58","69.20","72.81","2 out of 10","2 out of 9","2 out of 10","29","19"
"450055","ROLLING PLAINS MEMORIAL HOSPITAL","200 E ARIZONA","SWEETWATER","TX","79556","Nolan","55.27","78.52","86.68","87.22","81.48","4 out of 10","0 out of 9","4 out of 10","57.39","80.44","88.51","92.06","85.65","6 out of 10","0 out of 9","6 out of 10","38.40","65.08","80.35","78.28","83.12","10 out of 10","9 out of 9","10 out of 10","25.21","51.45","62.44","57.05","60.10","8 out of 10","5 out of 9","8 out of 10","43.43","63.37","73.66","74.02","64.17","1 out of 10","0 out of 9","1 out of 10","40.05","65.60","79.00","72.20","80.11","10 out of 10","9 out of 9","10 out of 10","62.25","86.60","91.63","86.69","88.72","4 out of 10","4 out of 9","4 out of 10","37.67","70.23","84.58","73.47","79.06","6 out of 10","5 out of 9","6 out of 10","49","20"
"050367","NORTHBAY MEDICAL CENTER","1200 B  GALE WILSON BLVD","FAIRFIELD","CA","94533","Solano","55.27","78.52","86.68","78.37","80.52","3 out of 10","2 out of 9","3 out of 10","57.39","80.44","88.51","79.93","81.54","2 out of 10","1 out of 9","2 out of 10","38.40","65.08","80.35","65.98","64.63","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","54.04","52.10","1 out of 10","0 out of 9","1 out of 10","43.43","63.37","73.66","66.07","64.25","1 out of 10","0 out of 9","1 out of 10","40.05","65.60","79.00","61.27","57.23","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","86.82","87.25","2 out of 10","0 out of 9","2 out of 10","37.67","70.23","84.58","69.92","71.60","1 out of 10","1 out of 9","1 out of 10","10","13"
"360096","EAST LIVERPOOL CITY HOSPITAL","425 WEST 5TH STREET","EAST LIVERPOOL","OH","43920","Columbiana","55.27","78.52","86.68","76.82","80.36","3 out of 10","3 out of 9","3 out of 10","57.39","80.44","88.51","75.54","82.23","2 out of 10","5 out of 9","5 out of 10","38.40","65.08","80.35","59.21","66.55","1 out of 10","3 out of 9","3 out of 10","25.21","51.45","62.44","43.50","47.39","0 out of 10","2 out of 9","2 out of 10","43.43","63.37","73.66","55.66","63.33","0 out of 10","4 out of 9","4 out of 10","40.05","65.60","79.00","63.10","67.38","2 out of 10","2 out of 9","2 out of 10","62.25","86.60","91.63","81.01","87.57","2 out of 10","6 out of 9","6 out of 10","37.67","70.23","84.58","60.70","70.32","1 out of 10","4 out of 9","4 out of 10","29","16"
"230130","BEAUMONT HOSPITAL, ROYAL OAK","3601 W THIRTEEN MILE RD","ROYAL OAK","MI","48073","Oakland","55.27","78.52","86.68","77.59","78.65","1 out of 10","1 out of 9","1 out of 10","57.39","80.44","88.51","77.99","77.04","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","60.97","62.71","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","50.50","51.48","1 out of 10","0 out of 9","1 out of 10","43.43","63.37","73.66","59.06","60.57","0 out of 10","1 out of 9","1 out of 10","40.05","65.60","79.00","56.77","58.53","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","85.86","86.49","0 out of 10","1 out of 9","1 out of 10","37.67","70.23","84.58","72.39","73.51","3 out of 10","0 out of 9","3 out of 10","7","14"
"360035","MOUNT CARMEL WEST","793 WEST STATE STREET","COLUMBUS","OH","43222","Franklin","55.27","78.52","86.68","78.67","77.74","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","78.49","78.69","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","62.81","59.33","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","51.38","49.66","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","59.22","59.51","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","55.88","52.75","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","88.87","88.45","4 out of 10","0 out of 9","4 out of 10","37.67","70.23","84.58","69.67","67.65","0 out of 10","0 out of 9","0 out of 10","4","9"
"330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","BRONX","NY","10467","Bronx","55.27","78.52","86.68","75.31","75.46","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","79.01","78.44","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","59.33","57.25","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","50.32","47.36","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","64.80","63.05","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","61.89","57.53","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","82.51","82.14","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","64.76","63.93","0 out of 10","0 out of 9","0 out of 10","0","13"
"180102","LOURDES HOSPITAL","1530 LONE OAK ROAD","PADUCAH","KY","42003","McCracken","55.27","78.52","86.68","77.69","76.56","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","81.50","81.12","1 out of 10","0 out of 9","1 out of 10","38.40","65.08","80.35","63.44","60.92","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","53.37","49.03","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","62.21","55.43","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","64.82","64.58","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","86.16","85.05","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","71.61","69.70","0 out of 10","0 out of 9","0 out of 10","1","12"
"420055","CAROLINAS HOSPITAL SYSTEM MARION","2829 E HWY 76","MULLINS","SC","29574","Marion","55.27","78.52","86.68","80.50","78.57","1 out of 10","0 out of 9","1 out of 10","57.39","80.44","88.51","84.70","84.88","5 out of 10","0 out of 9","5 out of 10","38.40","65.08","80.35","69.15","63.04","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","46.14","43.52","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","61.68","66.08","3 out of 10","3 out of 9","3 out of 10","40.05","65.60","79.00","70.38","71.45","4 out of 10","1 out of 9","4 out of 10","62.25","86.60","91.63","84.41","84.93","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","70.36","68.19","0 out of 10","0 out of 9","0 out of 10","13","13"
"180064","SAINT JOSEPH MOUNT STERLING","225 FALCON DRIVE","MOUNT STERLING","KY","40353","Montgomery","55.27","78.52","86.68","83.72","81.28","4 out of 10","0 out of 9","4 out of 10","57.39","80.44","88.51","85.09","81.99","2 out of 10","0 out of 9","2 out of 10","38.40","65.08","80.35","73.77","69.73","3 out of 10","0 out of 9","3 out of 10","25.21","51.45","62.44","56.40","54.88","3 out of 10","0 out of 9","3 out of 10","43.43","63.37","73.66","72.26","60.87","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","76.48","71.89","5 out of 10","0 out of 9","5 out of 10","62.25","86.60","91.63","91.78","88.75","4 out of 10","0 out of 9","4 out of 10","37.67","70.23","84.58","78.44","76.51","4 out of 10","0 out of 9","4 out of 10","25","17"
