Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PSI-90 Achievement Threshold,PSI-90 Benchmark,PSI-90 Baseline Rate,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score,PC-01 Achievement Threshold,PC-01 Benchmark,PC-01 Baseline Rate,PC-01 Performance Rate,PC-01 Achievement Points,PC-01 Improvement Points,PC-01 Measure Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","Houston","0.964542","0.709498","1.009846","0.656456","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","2.952","0.884","0 out of 10","7 out of 9","7 out of 10","0.906","0.000","3.645","0.361","6 out of 10","9 out of 9","9 out of 10","7 out of 10","0.824","0.000","0.664","0.367","5 out of 10","4 out of 9","5 out of 10","0.710","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.767","0.000","1.198","1.070","0 out of 10","1 out of 9","1 out of 10","0.805","0.004","1.126","0.334","6 out of 10","7 out of 9","7 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","Marshall","0.964542","0.709498","0.798330","0.726932","9 out of 10","8 out of 9","9 out of 10","0.369","0.000","3.063","0.000","10 out of 10","9 out of 9","10 out of 10","0.906","0.000","0.522","0.503","5 out of 10","0 out of 9","5 out of 10","10 out of 10","0.824","0.000","0.325","0.000","10 out of 10","9 out of 9","10 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.243","0.525","3 out of 10","5 out of 9","5 out of 10","0.805","0.004","0.316","0.055","9 out of 10","8 out of 9","9 out of 10","0.020408","0.000000","0.295858","0.021739","0 out of 10","9 out of 9","9 out of 10"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","Lauderdale","0.964542","0.709498","1.253606","0.665941","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.233","0.950","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.179","0.860","1 out of 10","0 out of 9","1 out of 10","7 out of 10","0.824","0.000","1.905","0.386","5 out of 10","7 out of 9","7 out of 10","0.710","0.000","0.852","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.701","2.106","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.708","0.435","5 out of 10","3 out of 9","5 out of 10","0.020408","0.000000","0.027027","0.000000","10 out of 10","9 out of 9","10 out of 10"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","Covington","0.964542","0.709498","1.101822","0.582838","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.000","Not Available","Not Available","Not Available","Not Available","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","Jefferson","0.964542","0.709498","0.864237","0.814336","6 out of 10","3 out of 9","6 out of 10","0.369","0.000","0.466","0.921","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.567","0.563","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0.824","0.000","0.649","0.517","4 out of 10","2 out of 9","4 out of 10","0.710","0.000","1.596","2.768","0 out of 10","0 out of 9","0 out of 10","0.767","0.000","0.926","0.584","3 out of 10","3 out of 9","3 out of 10","0.805","0.004","0.858","0.590","3 out of 10","3 out of 9","3 out of 10","0.020408","0.000000","0.058824","0.000000","10 out of 10","9 out of 9","10 out of 10"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DeKalb","0.964542","0.709498","1.010369","0.577837","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.392","0.536","4 out of 10","0 out of 9","4 out of 10","0.020408","0.000000","0.202703","0.122449","0 out of 10","3 out of 9","3 out of 10"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","Shelby","0.964542","0.709498","0.974042","0.512905","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.436","0.361","1 out of 10","1 out of 9","1 out of 10","0.906","0.000","0.649","0.418","5 out of 10","3 out of 9","5 out of 10","10 out of 10","0.824","0.000","0.489","0.000","10 out of 10","9 out of 9","10 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.127","1.041","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.641","0.458","4 out of 10","2 out of 9","4 out of 10","0.020408","0.000000","0.076923","0.000000","10 out of 10","9 out of 9","10 out of 10"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","Colbert","0.964542","0.709498","0.973823","0.809746","6 out of 10","6 out of 9","6 out of 10","0.369","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.906","0.000","0.000","0.497","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0.824","0.000","0.443","0.515","4 out of 10","0 out of 9","4 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.648","1.589","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.011","0.259","7 out of 10","7 out of 9","7 out of 10","0.020408","0.000000","0.092593","0.029412","0 out of 10","6 out of 9","6 out of 10"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","Dale","0.964542","0.709498","0.884154","0.710052","9 out of 10","9 out of 9","9 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.372","0.000","10 out of 10","9 out of 9","10 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","35960","Cherokee","0.964542","0.709498","0.961293","0.623787","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
