Provider Number,Hospital Name,Address,City,State,Zip Code,County Name,Unweighted Normalized Clinical Care Domain Score,Weighted Normalized Clinical Care Domain Score,Unweighted Patient and Caregiver Centered Experience of Care/Care Coordination Domain Score,Weighted Patient and Caregiver Centered Experience of Care/Care Coordination Domain Score,Unweighted Normalized Safety Domain Score,Weighted Safety Domain Score,Unweighted Normalized Efficiency and Cost Reduction Domain Score,Weighted Efficiency and Cost Reduction Domain Score,Total Performance Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","Houston","43.333333333333","10.833333333333","26.000000000000","6.500000000000","72.857142857143","18.214285714286","0.000000000000","0.000000000000","35.547619047619"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","Marshall","16.666666666667","4.166666666667","36.000000000000","9.000000000000","81.428571428571","20.357142857143","0.000000000000","0.000000000000","33.523809523810"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","Lauderdale","26.666666666667","6.666666666667","17.000000000000","4.250000000000","47.142857142857","11.785714285714","0.000000000000","0.000000000000","22.702380952381"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","Covington","26.666666666667","8.888888888889","56.000000000000","18.666666666667","Not Available","Not Available","0.000000000000","0.000000000000","27.555555555556"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","Jefferson","46.666666666667","11.666666666667","25.000000000000","6.250000000000","42.857142857143","10.714285714286","0.000000000000","0.000000000000","28.630952380952"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DeKalb","13.333333333333","3.333333333333","25.000000000000","6.250000000000","67.500000000000","16.875000000000","30.000000000000","7.500000000000","33.958333333333"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","Shelby","30.000000000000","7.500000000000","19.000000000000","4.750000000000","57.142857142857","14.285714285714","0.000000000000","0.000000000000","26.535714285714"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","Colbert","36.666666666667","9.166666666667","35.000000000000","8.750000000000","54.285714285714","13.571428571429","0.000000000000","0.000000000000","31.488095238095"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","Dale","15.000000000000","5.000000000000","64.000000000000","21.333333333333","Not Available","Not Available","30.000000000000","10.000000000000","36.333333333333"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","35960","Cherokee","10.000000000000","3.333333333333","53.000000000000","17.666666666667","Not Available","Not Available","40.000000000000","13.333333333333","34.333333333333"
