"complications.hospitals","MORT_30_STK","MORT_30_STK_Standard.Error","COMP_HIP_KNEE","COMP_HIP_KNEE_Standard.Error","MORT_30_CABG","MORT_30_CABG_Standard.Error","PSI_10_POST_KIDNEY","PSI_10_POST_KIDNEY_Standard.Error","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_Standard.Error","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_Standard.Error","PSI_4_SURG_COMP","PSI_4_SURG_COMP_Standard.Error","PSI_6_IAT_PTX","PSI_6_IAT_PTX_Standard.Error","PSI_90_SAFETY","PSI_90_SAFETY_Standard.Error"
10001,"16.1",1.53061224489796,"4.2",0.918367346938775,"3.5",1.1734693877551,"0.89",0.433673469387755,"3.76",1.0969387755102,"2.48",1.0969387755102,"165.09",20.2448979591837,"0.33",0.122448979591837,"0.85",0.122448979591837
10005,"14.9",1.98979591836735,"3.1",0.86734693877551,NA,NA,"1.09",0.479591836734694,"4.84",1.48469387755102,"2.13",1.14795918367347,"174.65",23.3877551020408,"0.39",0.142857142857143,"0.99",0.178571428571429
10006,"19.3",1.93877551020408,"3.8",0.918367346938775,"4.5",1.73469387755102,NA,NA,"4.62",1.26020408163265,"2.65",1.13775510204082,"176.48",21.3418367346939,"0.42",0.137755102040816,"1.00",0.188775510204082
10007,"15.4",2.80612244897959,"2.8",0.969387755102041,NA,NA,"1.11",0.489795918367347,"4.09",1.79081632653061,NA,NA,NA,NA,"0.39",0.153061224489796,"0.95",0.198979591836735
10008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"1.00",0.204081632653061
10011,"11.9",1.83673469387755,"3.6",1.02040816326531,"3.8",1.53061224489796,"1.17",0.454081632653061,"5.16",1.33163265306122,"2.10",1.13775510204082,"157.43",19.8214285714286,"0.31",0.137755102040816,"1.12",0.147959183673469
10012,"16.8",2.5,NA,NA,NA,NA,"1.09",0.479591836734694,"3.92",1.75510204081633,"2.22",1.1734693877551,NA,NA,"0.37",0.153061224489796,"0.91",0.188775510204082
10016,"15.1",2.09183673469388,"2.4",0.76530612244898,"3.7",1.3265306122449,"1.17",0.454081632653061,"3.50",1.26020408163265,"1.99",1.10714285714286,"144.83",20.515306122449,"0.35",0.137755102040816,"0.94",0.147959183673469
10018,NA,NA,NA,NA,NA,NA,NA,NA,"4.18",1.80612244897959,NA,NA,NA,NA,"0.40",0.153061224489796,"0.85",0.183673469387755
10019,"15.5",2.5,"1.7",0.510204081632653,NA,NA,NA,NA,"3.86",1.48979591836735,"2.13",1.14285714285714,NA,NA,"0.40",0.147959183673469,"0.95",0.193877551020408
10021,NA,NA,"4.0",1.47959183673469,NA,NA,"1.11",0.48469387755102,"4.74",1.77040816326531,NA,NA,NA,NA,"0.38",0.153061224489796,"1.00",0.188775510204082
10022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"1.00",0.204081632653061
10023,"14.8",1.63265306122449,"2.7",0.612244897959184,"5.7",1.73469387755102,"0.90",0.438775510204082,"3.13",1.12755102040816,"2.09",1.13775510204082,"148.41",20.5663265306122,"0.38",0.13265306122449,"0.85",0.137755102040816
10024,"13.0",1.58163265306123,"2.0",0.561224489795918,"4.3",1.37755102040816,"0.89",0.438775510204082,"3.40",1.24489795918367,"2.08",1.13265306122449,"159.93",21.5510204081633,"0.30",0.13265306122449,"1.16",0.13265306122449
10029,"15.6",1.73469387755102,"2.9",0.714285714285714,"5.1",1.83673469387755,"1.07",0.438775510204082,"4.99",1.14285714285714,"2.00",1.11224489795918,"157.39",19.6938775510204,"0.36",0.13265306122449,"0.97",0.127551020408163
10032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
10033,"16.5",1.53061224489796,"3.4",0.816326530612245,"2.4",0.816326530612245,"0.85",0.321428571428571,"4.39",0.673469387755102,"1.50",0.964285714285714,"144.56",13.3724489795918,"0.30",0.112244897959184,"1.02",0.0714285714285714
10034,NA,NA,NA,NA,NA,NA,NA,NA,"4.25",1.82142857142857,NA,NA,NA,NA,"0.39",0.153061224489796,"0.99",0.204081632653061
10035,"16.8",2.24489795918367,"2.7",0.76530612244898,NA,NA,"1.08",0.479591836734694,"2.85",1.49489795918367,"2.16",1.15816326530612,"136.05",23.8928571428571,"0.34",0.142857142857143,"1.04",0.168367346938776
10036,"11.8",1.68367346938775,"2.2",0.816326530612245,NA,NA,NA,NA,"3.81",1.72448979591837,"2.22",1.1734693877551,NA,NA,"0.37",0.147959183673469,"0.95",0.204081632653061
10038,"13.6",2.44897959183673,"2.6",0.918367346938776,NA,NA,"1.10",0.489795918367347,"4.28",1.67857142857143,"2.20",1.16836734693878,NA,NA,"0.43",0.147959183673469,"1.01",0.188775510204082
10039,"16.8",1.12244897959184,"2.0",0.306122448979592,"1.8",0.663265306122449,"1.13",0.392857142857143,"4.05",0.770408163265306,"1.64",1.00510204081633,"170.87",16.0663265306123,"0.34",0.102040816326531,"1.11",0.0918367346938775
10040,"13.1",1.68367346938775,"4.2",0.918367346938775,"3.0",1.37755102040816,"0.98",0.454081632653061,"4.00",1.28061224489796,"2.04",1.11734693877551,"136.68",18.8979591836735,"0.34",0.137755102040816,"1.07",0.13265306122449
10044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
10045,"15.6",2.95918367346939,NA,NA,NA,NA,NA,NA,"4.21",1.81122448979592,"2.22",1.1734693877551,NA,NA,"0.39",0.153061224489796,"0.97",0.209183673469388
10046,"12.9",2.19387755102041,"2.9",0.918367346938776,"2.6",1.68367346938776,"1.03",0.464285714285714,"3.30",1.47959183673469,"2.16",1.1530612244898,"152.04",23.3010204081633,"0.33",0.147959183673469,"0.92",0.153061224489796
10047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"0.99",0.209183673469388
10049,"14.7",2.5,"2.1",0.612244897959184,NA,NA,"1.11",0.48469387755102,"3.70",1.69897959183673,"2.22",1.16836734693878,NA,NA,"0.38",0.153061224489796,"0.93",0.188775510204082
10051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
10052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"1.00",0.209183673469388
10055,"16.9",1.93877551020408,"3.3",0.76530612244898,"3.2",1.37755102040816,"1.05",0.433673469387755,"3.34",1.22959183673469,"2.02",1.12244897959184,"157.98",19.5102040816327,"0.47",0.13265306122449,"0.94",0.122448979591837
10056,"14.1",1.47959183673469,"2.5",0.408163265306122,"5.3",2.09183673469388,"1.31",0.423469387755102,"5.44",1.02040816326531,"2.86",1.06632653061225,"164.21",18.6071428571429,"0.37",0.13265306122449,"1.08",0.112244897959184
10058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
10059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"0.99",0.209183673469388
10061,"14.5",2.60204081632653,"2.7",1.02040816326531,NA,NA,"1.11",0.489795918367347,"3.91",1.74489795918367,"2.24",1.1734693877551,NA,NA,"0.38",0.147959183673469,"0.94",0.193877551020408
10062,NA,NA,NA,NA,NA,NA,"1.11",0.489795918367347,"4.23",1.82142857142857,NA,NA,NA,NA,"0.39",0.158163265306122,"0.93",0.198979591836735
10065,"14.9",2.39795918367347,"3.9",1.12244897959184,NA,NA,"1.11",0.48469387755102,"3.52",1.65816326530612,"2.22",1.16836734693878,NA,NA,"0.43",0.147959183673469,"0.89",0.188775510204082
10069,"13.3",2.39795918367347,NA,NA,NA,NA,NA,NA,"4.23",1.81632653061224,NA,NA,NA,NA,"0.39",0.153061224489796,"1.03",0.204081632653061
10073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.153061224489796,"0.99",0.209183673469388
10078,"14.0",1.93877551020408,"4.1",0.86734693877551,"4.2",1.73469387755102,"1.23",0.433673469387755,"5.59",1.20918367346939,"2.56",1.11224489795918,"168.71",18.0867346938775,"0.35",0.137755102040816,"1.28",0.122448979591837
10079,"14.7",2.29591836734694,"2.5",0.76530612244898,NA,NA,"1.10",0.48469387755102,"4.66",1.63775510204082,"2.21",1.1734693877551,NA,NA,"0.43",0.147959183673469,"1.11",0.188775510204082
10083,"15.6",2.24489795918367,"2.8",0.918367346938775,NA,NA,"1.08",0.479591836734694,"4.19",1.55102040816327,"2.15",1.1530612244898,NA,NA,"0.46",0.147959183673469,"1.02",0.173469387755102
10085,"15.5",1.73469387755102,"2.7",0.714285714285714,NA,NA,NA,NA,"4.22",1.38265306122449,"1.99",1.11224489795918,"177.06",22.3061224489796,"0.32",0.142857142857143,"1.02",0.193877551020408
10086,"17.4",2.90816326530612,NA,NA,NA,NA,"1.10",0.479591836734694,"4.19",1.80612244897959,NA,NA,NA,NA,"0.39",0.153061224489796,"0.94",0.198979591836735
10087,"17.8",3.26530612244898,NA,NA,NA,NA,"1.04",0.469387755102041,"5.08",1.51530612244898,"2.15",1.1530612244898,"135.25",21.6173469387755,"0.43",0.147959183673469,"0.97",0.168367346938776
10089,"14.2",2.09183673469388,"2.3",0.714285714285715,NA,NA,"1.10",0.479591836734694,"2.92",1.51020408163265,"2.17",1.15816326530612,NA,NA,"0.57",0.147959183673469,"0.91",0.173469387755102
10090,"19.0",2.04081632653061,"2.9",0.663265306122449,"4.3",1.53061224489796,"0.92",0.443877551020408,"4.92",1.21428571428571,"2.07",1.12755102040816,"175.85",20.2142857142857,"0.40",0.13265306122449,"1.12",0.137755102040816
10091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"0.99",0.209183673469388
10092,"13.7",1.1734693877551,"3.0",0.561224489795918,"4.7",1.88775510204082,NA,NA,"4.17",0.989795918367347,"1.69",1.02040816326531,"146.15",18,"0.41",0.122448979591837,"1.02",0.183673469387755
10095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.204081632653061
10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"0.99",0.209183673469388
10099,"16.2",2.85714285714286,NA,NA,NA,NA,"1.12",0.48469387755102,"4.14",1.79591836734694,"2.22",1.1734693877551,NA,NA,"0.39",0.153061224489796,"0.95",0.198979591836735
10100,"13.4",1.83673469387755,"2.9",0.663265306122449,"3.9",1.37755102040816,"1.01",0.469387755102041,"4.71",1.3265306122449,"2.70",1.14795918367347,"138.33",23.3877551020408,"0.38",0.142857142857143,"0.86",0.163265306122449
10101,"14.4",2.80612244897959,NA,NA,NA,NA,NA,NA,"3.99",1.76530612244898,NA,NA,NA,NA,"0.38",0.153061224489796,"0.97",0.209183673469388
10102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
10103,"15.6",1.93877551020408,"2.4",0.76530612244898,"4.4",1.73469387755102,"1.37",0.403061224489796,"4.61",1.13265306122449,"1.96",1.0969387755102,"143.77",17.4948979591837,"0.33",0.13265306122449,"0.94",0.127551020408163
10104,"16.8",2.14285714285714,"3.6",0.816326530612245,"4.2",1.93877551020408,"0.91",0.438775510204082,"5.21",1.28571428571429,"2.04",1.12244897959184,"171.21",19.5408163265306,"0.40",0.137755102040816,"1.04",0.127551020408163
10108,"15.4",2.60204081632653,NA,NA,NA,NA,NA,NA,"4.08",1.78571428571429,NA,NA,NA,NA,"0.38",0.153061224489796,"0.98",0.193877551020408
10109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
10110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"1.00",0.204081632653061
10112,NA,NA,NA,NA,NA,NA,NA,NA,"4.24",1.81632653061224,NA,NA,NA,NA,"0.38",0.153061224489796,"0.98",0.204081632653061
10113,"13.6",1.58163265306122,"3.5",0.714285714285715,"4.6",1.58163265306122,"0.92",0.443877551020408,"8.32",1.00510204081633,"1.82",1.05612244897959,"145.75",19.219387755102,"0.51",0.122448979591837,"1.15",0.122448979591837
10114,"12.5",2.19387755102041,"3.4",1.1734693877551,NA,NA,"1.09",0.479591836734694,"5.71",1.60714285714286,"2.17",1.15816326530612,NA,NA,"0.42",0.153061224489796,"1.08",0.173469387755102
10118,"14.4",2.14285714285714,NA,NA,NA,NA,"1.07",0.479591836734694,"3.58",1.6734693877551,"2.80",1.16836734693878,NA,NA,"0.35",0.147959183673469,"0.83",0.173469387755102
10120,"13.8",2.6530612244898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.153061224489796,"0.99",0.209183673469388
10125,"15.0",2.75510204081633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.153061224489796,"0.99",0.209183673469388
10126,"14.2",2.95918367346939,NA,NA,NA,NA,"1.11",0.48469387755102,"4.04",1.78061224489796,"2.84",1.17857142857143,NA,NA,"0.39",0.153061224489796,"1.00",0.198979591836735
10128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"1.00",0.209183673469388
10129,NA,NA,NA,NA,NA,NA,NA,NA,"4.82",1.78061224489796,NA,NA,NA,NA,"0.39",0.153061224489796,"0.99",0.198979591836735
10130,"14.0",2.44897959183674,NA,NA,NA,NA,"1.11",0.489795918367347,"4.22",1.81632653061225,NA,NA,NA,NA,"0.45",0.153061224489796,"0.96",0.204081632653061
10131,"15.2",1.93877551020408,"3.1",0.663265306122449,NA,NA,"1.07",0.479591836734694,"3.90",1.26530612244898,"2.09",1.13265306122449,"145.65",22.2142857142857,"0.31",0.137755102040816,"0.98",0.147959183673469
10138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.40",0.153061224489796,"1.00",0.209183673469388
10139,"14.2",1.93877551020408,"3.6",0.663265306122449,"3.4",1.42857142857143,NA,NA,"3.93",1.16326530612245,"2.65",1.13265306122449,"150.07",21.6020408163265,"0.38",0.13265306122449,"0.95",0.188775510204082
10144,"15.0",2.29591836734694,"2.4",0.714285714285714,"3.8",1.88775510204082,"0.96",0.454081632653061,"5.74",1.40816326530612,"2.15",1.1530612244898,"136.77",22.8928571428571,"0.47",0.137755102040816,"1.07",0.153061224489796
10146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.158163265306122,"1.00",0.204081632653061
10148,"14.5",2.55102040816327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",0.153061224489796,"0.99",0.209183673469388
10149,"12.2",1.98979591836735,NA,NA,NA,NA,"1.30",0.479591836734694,"3.21",1.58163265306122,"2.16",1.1530612244898,NA,NA,"0.35",0.147959183673469,"0.87",0.168367346938776
10150,NA,NA,"2.8",1.07142857142857,NA,NA,"1.12",0.48469387755102,"4.11",1.79081632653061,NA,NA,NA,NA,"0.39",0.153061224489796,"0.95",0.204081632653061
10157,"15.8",3.26530612244898,"3.1",1.1734693877551,NA,NA,NA,NA,"4.59",1.73979591836735,"2.20",1.16836734693878,NA,NA,"0.44",0.158163265306122,"1.01",0.204081632653061
10158,"16.7",2.39795918367347,"3.8",1.27551020408163,NA,NA,"1.11",0.489795918367347,"3.99",1.76530612244898,NA,NA,NA,NA,"0.38",0.153061224489796,"0.91",0.198979591836735
10164,"13.9",2.39795918367347,"3.8",1.3265306122449,NA,NA,"1.11",0.48469387755102,"5.03",1.69897959183673,"2.17",1.1530612244898,NA,NA,"0.38",0.153061224489796,"1.11",0.188775510204082
10168,NA,NA,"3.3",0.459183673469388,NA,NA,"1.08",0.479591836734694,"4.35",1.40816326530612,NA,NA,NA,NA,"0.38",0.153061224489796,"0.86",0.163265306122449
10169,"14.9",2.55102040816326,NA,NA,NA,NA,NA,NA,"4.17",1.80612244897959,NA,NA,NA,NA,"0.45",0.153061224489796,"0.98",0.204081632653061
11302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
