"Provider.Number","MORT.30.AMI.Achievement.Threshold","MORT.30.AMI.Benchmark","MORT.30.AMI.Baseline.Rate","MORT.30.AMI.Performance.Rate","MORT.30.AMI.Achievement.Points","MORT.30.AMI.Improvement.Points","MORT.30.AMI.Measure.Score","MORT.30.HF.Achievement.Threshold","MORT.30.HF.Benchmark","MORT.30.HF.Baseline.Rate","MORT.30.HF.Performance.Rate","MORT.30.HF.Achievement.Points","MORT.30.HF.Improvement.Points","MORT.30.HF.Measure.Score","MORT.30.PN.Achievement.Threshold","MORT.30.PN.Benchmark","MORT.30.PN.Baseline.Rate","MORT.30.PN.Performance.Rate","MORT.30.PN.Achievement.Points","MORT.30.PN.Improvement.Points","MORT.30.PN.Measure.Score","PSI.90.Achievement.Threshold","PSI.90.Benchmark","PSI.90.Baseline.Rate","PSI.90.Performance.Rate","PSI.90.Achievement.Points","PSI.90.Improvement.Points","PSI.90.Measure.Score","HAI.1.Achievement.Threshold","HAI.1.Benchmark","HAI.1.Baseline.Rate","HAI.1.Performance.Rate","HAI.1.Achievement.Points","HAI.1.Improvement.Points","HAI.1.Measure.Score","HAI.2.Achievement.Threshold","HAI.2.Benchmark","HAI.2.Baseline.Rate","HAI.2.Performance.Rate","HAI.2.Achievement.Points","HAI.2.Improvement.Points","HAI.2.Measure.Score","Combined.SSI.Measure.Score","HAI.3.Achievement.Threshold","HAI.3.Benchmark","HAI.3.Baseline.Rate","HAI.3.Performance.Rate","HAI.3.Achievement.Points","HAI.3.Improvement.Points","HAI.3.Measure.Score","HAI.4.Achievement.Threshold","HAI.4.Benchmark","HAI.4.Baseline.Rate","HAI.4.Performance.Rate","HAI.4.Achievement.Points","HAI.4.Improvement.Points","HAI.4.Measure.Score","HAI.5.Achievement.Threshold","HAI.5.Benchmark","HAI.5.Baseline.Rate","HAI.5.Performance.Rate","HAI.5.Achievement.Points","HAI.5.Improvement.Points","HAI.5.Measure.Score","HAI.6.Achievement.Threshold","HAI.6.Benchmark","HAI.6.Baseline.Rate","HAI.6.Performance.Rate","HAI.6.Achievement.Points","HAI.6.Improvement.Points","HAI.6.Measure.Score","PC.01.Achievement.Threshold","PC.01.Benchmark","PC.01.Baseline.Rate","PC.01.Performance.Rate","PC.01.Achievement.Points","PC.01.Improvement.Points","PC.01.Measure.Score"
10001,0.850916,0.873053,"0.850186","0.866270","7 out of 10","7 out of 9","7 out of 10",0.883421,0.907656,"0.888060","0.885519","1 out of 10","0 out of 9","1 out of 10",0.88286,0.9079,"0.877181","0.893777","4 out of 10","5 out of 9","5 out of 10",0.964542,0.709498,"1.009846","0.656456","10 out of 10","9 out of 9","10 out of 10",0.369,0,"2.952","0.884","0 out of 10","7 out of 9","7 out of 10",0.906,0,"3.645","0.361","6 out of 10","9 out of 9","9 out of 10","7 out of 10",0.824,0,"0.664","0.367","5 out of 10","4 out of 9","5 out of 10",0.71,0,"Not Available","0.000","10 out of 10","Not Available","10 out of 10",0.767,0,"1.198","1.070","0 out of 10","1 out of 9","1 out of 10",0.805,0.004,"1.126","0.334","6 out of 10","7 out of 9","7 out of 10",0.020408,0,"0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
10005,0.850916,0.873053,"0.836946","0.857280","3 out of 10","5 out of 9","5 out of 10",0.883421,0.907656,"0.853765","0.845956","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.858520","0.851953","0 out of 10","0 out of 9","0 out of 10",0.964542,0.709498,"0.798330","0.726932","9 out of 10","8 out of 9","9 out of 10",0.369,0,"3.063","0.000","10 out of 10","9 out of 9","10 out of 10",0.906,0,"0.522","0.503","5 out of 10","0 out of 9","5 out of 10","10 out of 10",0.824,0,"0.325","0.000","10 out of 10","9 out of 9","10 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.243","0.525","3 out of 10","5 out of 9","5 out of 10",0.805,0.004,"0.316","0.055","9 out of 10","8 out of 9","9 out of 10",0.020408,0,"0.295858","0.021739","0 out of 10","9 out of 9","9 out of 10"
10006,0.850916,0.873053,"0.818278","0.843841","0 out of 10","4 out of 9","4 out of 10",0.883421,0.907656,"0.884408","0.865407","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.848835","0.872522","0 out of 10","4 out of 9","4 out of 10",0.964542,0.709498,"1.253606","0.665941","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.233","0.950","0 out of 10","0 out of 9","0 out of 10",0.906,0,"0.179","0.860","1 out of 10","0 out of 9","1 out of 10","7 out of 10",0.824,0,"1.905","0.386","5 out of 10","7 out of 9","7 out of 10",0.71,0,"0.852","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.701","2.106","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.708","0.435","5 out of 10","3 out of 9","5 out of 10",0.020408,0,"0.027027","0.000000","10 out of 10","9 out of 9","10 out of 10"
10007,0.850916,0.873053,"0.843930","0.867181","7 out of 10","Not Available","7 out of 10",0.883421,0.907656,"0.863976","0.854747","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.836245","0.849107","0 out of 10","1 out of 9","1 out of 10",0.964542,0.709498,"1.101822","0.582838","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.000","Not Available","Not Available","Not Available","Not Available",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10011,0.850916,0.873053,"0.834080","0.863407","6 out of 10","7 out of 9","7 out of 10",0.883421,0.907656,"0.889867","0.873002","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.823954","0.883768","1 out of 10","7 out of 9","7 out of 10",0.964542,0.709498,"0.864237","0.814336","6 out of 10","3 out of 9","6 out of 10",0.369,0,"0.466","0.921","0 out of 10","0 out of 9","0 out of 10",0.906,0,"0.567","0.563","4 out of 10","0 out of 9","4 out of 10","4 out of 10",0.824,0,"0.649","0.517","4 out of 10","2 out of 9","4 out of 10",0.71,0,"1.596","2.768","0 out of 10","0 out of 9","0 out of 10",0.767,0,"0.926","0.584","3 out of 10","3 out of 9","3 out of 10",0.805,0.004,"0.858","0.590","3 out of 10","3 out of 9","3 out of 10",0.020408,0,"0.058824","0.000000","10 out of 10","9 out of 9","10 out of 10"
10012,0.850916,0.873053,"0.840641","0.842346","0 out of 10","0 out of 9","0 out of 10",0.883421,0.907656,"0.840398","0.868469","0 out of 10","4 out of 9","4 out of 10",0.88286,0.9079,"0.843534","0.834758","0 out of 10","0 out of 9","0 out of 10",0.964542,0.709498,"1.010369","0.577837","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.392","0.536","4 out of 10","0 out of 9","4 out of 10",0.020408,0,"0.202703","0.122449","0 out of 10","3 out of 9","3 out of 10"
10016,0.850916,0.873053,"0.854265","0.839738","0 out of 10","0 out of 9","0 out of 10",0.883421,0.907656,"0.871128","0.871120","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.859767","0.906255","9 out of 10","9 out of 9","9 out of 10",0.964542,0.709498,"0.974042","0.512905","10 out of 10","9 out of 9","10 out of 10",0.369,0,"0.436","0.361","1 out of 10","1 out of 9","1 out of 10",0.906,0,"0.649","0.418","5 out of 10","3 out of 9","5 out of 10","10 out of 10",0.824,0,"0.489","0.000","10 out of 10","9 out of 9","10 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"1.127","1.041","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"0.641","0.458","4 out of 10","2 out of 9","4 out of 10",0.020408,0,"0.076923","0.000000","10 out of 10","9 out of 9","10 out of 10"
10019,0.850916,0.873053,"0.835137","0.857433","3 out of 10","5 out of 9","5 out of 10",0.883421,0.907656,"0.875727","0.864715","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.854612","0.889920","3 out of 10","6 out of 9","6 out of 10",0.964542,0.709498,"0.973823","0.809746","6 out of 10","6 out of 9","6 out of 10",0.369,0,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10",0.906,0,"0.000","0.497","5 out of 10","0 out of 9","5 out of 10","4 out of 10",0.824,0,"0.443","0.515","4 out of 10","0 out of 9","4 out of 10",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"0.648","1.589","0 out of 10","0 out of 9","0 out of 10",0.805,0.004,"1.011","0.259","7 out of 10","7 out of 9","7 out of 10",0.020408,0,"0.092593","0.029412","0 out of 10","6 out of 9","6 out of 10"
10021,0.850916,0.873053,"0.837658","0.863527","Not Available","Not Available","Not Available",0.883421,0.907656,"0.887443","0.876979","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.888682","0.890432","3 out of 10","0 out of 9","3 out of 10",0.964542,0.709498,"0.884154","0.710052","9 out of 10","9 out of 9","9 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.372","0.000","10 out of 10","9 out of 9","10 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
10022,0.850916,0.873053,"0.849462","0.863643","Not Available","Not Available","Not Available",0.883421,0.907656,"0.886973","0.870313","0 out of 10","0 out of 9","0 out of 10",0.88286,0.9079,"0.870644","0.881750","0 out of 10","2 out of 9","2 out of 10",0.964542,0.709498,"0.961293","0.623787","10 out of 10","9 out of 9","10 out of 10",0.369,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.906,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available",0.824,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.71,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.767,0,"Not Available","Not Available","Not Available","Not Available","Not Available",0.805,0.004,"0.000","0.000","10 out of 10","0 out of 9","10 out of 10",0.020408,0,"Not Available","Not Available","Not Available","Not Available","Not Available"
