"col.name","mean","median","sd"
"HAI.1.Baseline.Rate",0.470697334030319,"0.649",0.506926706797999
"HAI.2.Baseline.Rate",1.0495807195572,"0.903",0.861029657449661
"HAI.3.Baseline.Rate",0.950529530540131,"0.827",0.789993441835221
"HAI.4.Baseline.Rate",0.88742073897497,"0.71",0.915213103292406
"HAI.5.Baseline.Rate",0.884943539630836,"0.756",0.767761108045128
"HAI.6.Baseline.Rate",0.858040418621436,"0.828",0.508393426021681
"MORT.30.AMI.Baseline.Rate",0.850174572783656,"0.850245",0.0120385030752568
"MORT.30.HF.Baseline.Rate",0.88246200508167,"0.883338",0.0151627213125962
"MORT.30.PN.Baseline.Rate",0.88080355753176,"0.882794",0.0173463014027064
"PC.01.Baseline.Rate",0.0358438272610373,"0.020408",0.0549488656032243
"PSI.90.Baseline.Rate",0.980247179255511,"0.95242",0.191016325628618
