"providers","HAI_1_CI_LOWER","HAI_1_CI_UPPER","HAI_3_CI_LOWER","HAI_3_CI_UPPER","HAI_5_CI_LOWER","HAI_5_CI_UPPER"
10001,"0.219","1.659","0.162","1.731","0.796","2.995"
10005,NA,"1.883",NA,"1.697","0.236","4.657"
10006,"0.822","2.717","0.020","1.946","0.879","3.974"
10007,NA,NA,NA,NA,NA,NA
10008,NA,NA,NA,NA,NA,NA
10011,"0.836","2.245",NA,"0.546","0.152","1.158"
10012,NA,NA,NA,NA,NA,NA
10016,"0.286","1.729",NA,"0.536","0.017","1.671"
10018,NA,NA,NA,NA,NA,NA
10019,"0.276","5.434","0.036","3.515","0.049","4.826"
10021,NA,NA,NA,NA,NA,NA
10022,NA,NA,NA,NA,NA,NA
10023,"0.523","1.405",NA,"0.702","0.386","1.748"
10024,"0.710","2.492","0.197","2.109","0.016","1.557"
10029,"0.609","2.492",NA,"0.589","0.285","2.163"
10032,NA,NA,NA,NA,NA,NA
10033,"0.356","0.759","0.571","1.380","0.695","1.350"
10034,NA,NA,NA,NA,NA,NA
10035,"0.021","2.090",NA,"1.505","0.040","3.911"
10036,NA,NA,NA,NA,NA,NA
10038,NA,NA,NA,NA,NA,NA
10039,"0.825","1.692","0.682","1.686","1.502","2.921"
10040,"0.417","1.888",NA,"1.139","0.614","3.717"
10044,NA,NA,NA,NA,NA,NA
10045,NA,NA,NA,NA,NA,NA
10046,"0.311","3.328",NA,"2.357","0.901","6.838"
10047,NA,NA,NA,NA,NA,NA
10049,NA,NA,NA,NA,NA,NA
10051,NA,NA,NA,NA,NA,NA
10052,NA,NA,NA,NA,NA,NA
10055,"0.011","1.122","0.206","2.201","0.021","2.070"
10056,"1.262","2.693","0.154","1.166","0.331","1.496"
10058,NA,NA,NA,NA,NA,NA
10059,NA,NA,NA,NA,NA,NA
10061,NA,NA,NA,NA,NA,NA
10062,NA,NA,NA,NA,NA,NA
10065,NA,NA,NA,NA,NA,NA
10069,NA,NA,NA,NA,NA,NA
10073,NA,NA,NA,NA,NA,NA
10078,"0.252","2.696",NA,"1.034","0.597","3.065"
10079,"0.044","4.296",NA,NA,NA,NA
10083,NA,"1.801",NA,NA,"0.048","4.729"
10085,"0.111","2.181",NA,"0.816","0.287","3.074"
10086,NA,NA,NA,NA,NA,NA
10087,"0.654","2.675","1.088","3.817","0.430","3.262"
10089,NA,"2.547",NA,NA,"0.036","3.579"
10090,"0.578","2.027","0.436","2.640","0.357","2.161"
10091,NA,NA,NA,NA,NA,NA
10092,"0.979","1.870","0.425","1.599","0.245","1.258"
10095,NA,NA,NA,NA,NA,NA
10097,NA,NA,NA,NA,NA,NA
10099,NA,NA,NA,NA,NA,NA
10100,"0.193","2.062","0.369","2.805","0.175","3.452"
10101,NA,NA,NA,NA,NA,NA
10102,NA,NA,NA,NA,NA,NA
10103,"0.857","1.949",NA,"0.678","0.816","2.863"
10104,"0.139","0.844",NA,"0.636","0.352","1.808"
10108,NA,NA,NA,NA,NA,NA
10109,NA,NA,NA,NA,NA,NA
10110,NA,NA,NA,NA,NA,NA
10112,NA,NA,NA,NA,NA,NA
10113,"1.166","2.391","0.199","1.201","0.367","1.383"
10114,"0.798","2.800","0.014","1.369","1.112","5.709"
10118,NA,NA,NA,"2.440",NA,NA
10120,NA,NA,NA,NA,NA,NA
10125,NA,NA,NA,NA,NA,NA
10126,NA,NA,NA,NA,NA,NA
10128,NA,NA,NA,NA,NA,NA
10129,NA,NA,NA,NA,NA,NA
10130,NA,NA,NA,NA,NA,NA
10131,"0.741","4.483","0.199","2.125","0.030","2.989"
10138,NA,NA,NA,NA,NA,NA
10139,"0.738","2.314","0.157","1.679","0.359","1.622"
10144,"0.240","1.453","0.380","2.885","0.353","2.681"
10146,NA,NA,NA,NA,NA,NA
10148,NA,NA,NA,NA,NA,NA
10149,"0.428","2.197","0.011","1.101","0.279","2.982"
10150,NA,NA,NA,NA,NA,NA
10157,NA,NA,NA,NA,NA,NA
10158,NA,NA,NA,NA,NA,NA
10164,NA,NA,NA,NA,NA,NA
10168,NA,NA,NA,NA,NA,NA
10169,NA,NA,NA,NA,NA,NA
10173,NA,NA,NA,NA,NA,NA
11300,NA,NA,NA,NA,NA,NA
11302,NA,NA,NA,NA,NA,NA
11304,NA,NA,NA,NA,NA,NA
11305,NA,NA,NA,NA,NA,NA
20001,"0.456","1.430","0.224","1.700","0.271","1.639"
20006,NA,"1.669",NA,"1.550",NA,NA
20008,NA,NA,NA,NA,NA,NA
20012,NA,NA,NA,"1.621",NA,NA
20017,"0.275","2.942","1.081","6.538","0.863","5.218"
20018,NA,NA,NA,NA,NA,NA
20026,"0.024","2.378",NA,"0.691","0.379","4.050"
21306,NA,NA,NA,NA,NA,NA
21311,NA,NA,NA,NA,NA,NA
30001,NA,"2.539",NA,NA,NA,NA
30002,"0.113","0.510","0.744","1.998","0.498","1.382"
30006,"1.074","2.442","0.189","1.431","0.672","2.221"
30007,NA,NA,"0.528","5.650",NA,NA
30010,NA,"0.415","0.241","2.577","0.104","2.041"
20024,NA,NA,NA,NA,NA,NA
21305,NA,NA,NA,NA,NA,NA
21313,NA,NA,NA,NA,NA,NA
30011,"0.072","0.767","0.307","1.859","0.264","2.001"
30012,"0.018","1.749","0.282","3.016",NA,NA
30013,"0.176","0.904","0.013","1.258","0.309","1.871"
30014,"0.525","1.844","0.589","2.662","0.269","1.626"
30016,"0.025","2.477",NA,"1.917",NA,"2.550"
30022,"0.699","1.771","0.031","3.041","2.828","8.476"
30023,"0.520","3.143","0.018","1.760","0.224","2.399"
30024,"0.462","1.016","0.089","0.951","0.366","1.210"
30030,"0.016","1.544","0.039","3.805",NA,"1.820"
30033,NA,NA,NA,NA,NA,NA
30036,"0.509","1.786","0.815","2.344","0.346","2.096"
30037,"2.557","7.360","0.241","4.747","0.036","3.508"
30038,"0.568","1.878","1.074","4.857","0.114","1.222"
30043,NA,NA,"1.119","8.493",NA,NA
30055,"0.009","0.918","0.954","7.244","0.898","5.430"
30061,"0.188","0.964","0.535","2.012","0.379","2.290"
30062,"0.048","4.761","0.046","4.579",NA,NA
30064,"0.703","1.571","1.256","3.373","1.510","3.649"
30065,"0.673","1.436","0.652","1.808","0.379","1.428"
30068,NA,NA,NA,NA,NA,NA
30069,NA,"2.017","0.239","4.710","1.782","10.781"
30071,NA,NA,NA,NA,NA,NA
30073,NA,NA,NA,NA,NA,NA
30077,NA,NA,NA,NA,NA,NA
30078,NA,NA,NA,NA,NA,NA
30083,"0.018","1.756","0.046","4.504",NA,NA
30084,NA,NA,NA,NA,NA,NA
30085,"0.546","2.470","0.269","2.044",NA,"1.285"
30087,"0.808","2.105","0.235","1.423","0.314","1.897"
30088,"0.050","0.985","0.231","1.753","0.354","2.144"
30089,"0.184","0.943","1.172","3.676","0.201","1.215"
30092,"0.577","3.489","0.240","1.818","0.175","1.874"
30093,"0.050","0.981","0.020","1.994","0.073","1.435"
30094,"0.335","1.720","0.122","1.306","0.107","2.102"
30101,NA,"1.731","0.043","4.237",NA,NA
30103,"0.234","0.881","0.707","2.338","0.010","1.033"
30105,"0.018","1.737",NA,NA,"0.305","6.018"
30107,NA,NA,NA,NA,NA,NA
30108,NA,NA,NA,NA,NA,NA
30110,NA,"0.568",NA,"1.194",NA,"1.357"
30111,NA,"0.726","0.041","4.013",NA,"1.130"
30112,NA,NA,NA,NA,NA,NA
30113,NA,NA,NA,NA,NA,NA
30114,NA,"2.460",NA,NA,NA,NA
30115,"0.550","3.325","0.018","1.737",NA,"1.068"
30117,NA,NA,NA,NA,NA,NA
30119,"0.578","2.362","0.189","2.024","0.126","2.479"
30120,NA,NA,NA,NA,NA,NA
30121,"0.090","1.778",NA,"2.076","0.214","4.214"
30122,"0.280","5.525","0.018","1.735","0.480","5.132"
30123,NA,"1.420","1.256","7.601",NA,"2.478"
30130,NA,NA,NA,NA,NA,NA
30131,NA,NA,NA,NA,NA,NA
30132,NA,NA,NA,NA,NA,NA
30134,NA,NA,NA,NA,NA,NA
30136,NA,NA,NA,NA,NA,NA
30137,NA,NA,NA,NA,NA,NA
31302,NA,NA,NA,NA,NA,NA
31304,NA,NA,NA,NA,NA,NA
31313,NA,NA,NA,NA,NA,NA
31317,NA,NA,NA,NA,NA,NA
40001,NA,NA,NA,NA,NA,NA
40002,NA,NA,NA,NA,NA,NA
40004,"0.248","1.271","0.426","2.184","0.288","3.078"
40007,"2.985","4.726","0.626","1.878","1.233","3.421"
40010,"0.244","1.853","0.514","2.639","0.178","3.505"
40011,NA,NA,NA,NA,NA,NA
40014,NA,"0.997","0.023","2.244",NA,"1.287"
40015,NA,NA,NA,NA,NA,NA
40016,"0.335","0.874","0.138","1.050","0.265","1.083"
40017,NA,NA,NA,NA,NA,NA
40018,NA,NA,NA,NA,NA,NA
40019,NA,NA,NA,NA,NA,NA
40020,"0.583","1.929","0.013","1.246","0.755","2.840"
40022,"0.728","2.976","0.660","3.386","0.023","2.305"
40026,"0.355","1.822","0.102","2.005","0.316","3.385"
40027,"0.283","3.027","0.125","2.469",NA,"2.496"
40029,"0.432","3.283","0.031","3.086",NA,NA
40036,"0.553","2.503","0.893","3.361","0.857","4.396"
40039,NA,NA,NA,NA,NA,NA
40041,NA,"2.182",NA,"1.848",NA,"2.639"
40047,NA,NA,NA,NA,NA,NA
40050,NA,NA,NA,NA,NA,NA
40051,NA,NA,NA,NA,NA,NA
40055,"0.202","1.530","0.150","2.962","0.680","3.078"
40062,"0.810","2.842","0.011","1.132","0.728","3.735"
40067,NA,NA,NA,NA,NA,NA
40069,NA,NA,NA,NA,NA,NA
40071,"0.470","2.126",NA,"1.483","0.265","2.838"
40072,NA,NA,NA,NA,NA,NA
40074,NA,NA,NA,NA,NA,NA
40076,NA,NA,NA,NA,NA,NA
40078,"0.744","3.363","0.268","5.286","1.421","8.598"
40084,"0.628","6.714","0.254","5.006",NA,NA
40085,NA,NA,NA,NA,NA,NA
40088,NA,NA,"0.048","4.761",NA,NA
40114,"0.624","1.314","0.568","1.992","0.736","2.117"
40118,"0.010","1.025",NA,"1.715","0.022","2.169"
40119,"0.018","1.759",NA,"1.719","0.242","4.771"
40134,NA,"0.588",NA,NA,NA,NA
40137,NA,NA,NA,NA,NA,NA
40147,NA,NA,NA,NA,NA,NA
40152,NA,NA,NA,NA,NA,NA
40153,NA,NA,NA,NA,NA,NA
40154,NA,NA,NA,NA,NA,NA
41309,NA,NA,NA,NA,NA,NA
41311,NA,NA,NA,NA,NA,NA
41312,NA,NA,NA,NA,NA,NA
41313,NA,NA,NA,NA,NA,NA
41318,NA,NA,NA,NA,NA,NA
41321,NA,NA,NA,NA,NA,NA
41324,NA,NA,NA,NA,NA,NA
41327,NA,NA,NA,NA,NA,NA
41328,NA,NA,NA,NA,NA,NA
41329,NA,NA,NA,NA,NA,NA
50002,"0.575","4.366",NA,NA,"0.837","6.352"
50006,"0.120","2.372","0.362","3.877","0.213","4.206"
50007,"0.390","2.362","0.091","1.797","0.322","3.446"
50008,"0.311","3.326",NA,NA,NA,NA
50009,"0.122","2.405","0.045","4.471","0.691","7.389"
50013,"0.243","2.597",NA,NA,NA,NA
50014,"0.299","5.889",NA,NA,NA,NA
50017,NA,"0.228","0.147","1.575","0.257","2.754"
50018,"0.170","3.347",NA,"1.139","0.317","6.251"
50022,"0.264","1.194","0.435","1.966","0.470","2.414"
50024,NA,"2.761",NA,NA,NA,NA
50025,"0.963","1.511","0.896","2.406","0.752","2.020"
50026,"0.131","0.994","0.211","2.257","0.804","2.822"
50028,NA,NA,NA,NA,NA,NA
50030,NA,"1.568",NA,NA,"0.029","2.851"
50036,"0.480","1.805","0.274","2.931","0.669","3.435"
50038,"1.192","2.446","0.539","3.259","0.100","1.072"
50039,"0.191","1.450","0.014","1.364","0.011","1.086"
50040,"0.009","0.851",NA,NA,"0.501","3.029"
50042,NA,NA,"0.207","4.076",NA,NA
50043,"0.587","2.059","0.351","2.125","0.234","2.505"
50045,NA,NA,NA,NA,NA,NA
50047,"0.610","1.414","0.063","1.249","0.748","3.057"
50054,"0.242","4.778",NA,NA,NA,NA
50055,"0.299","3.201",NA,NA,NA,NA
50056,"0.698","2.008","0.156","1.670","0.080","1.573"
50057,"0.426","1.742","0.184","1.973","1.034","3.418"
