"","Provider_Number","FUH.30_.","FUH.30_Numerator","FUH.30_Denominator","FUH.7_.","FUH.7_Numerator","FUH.7_Denominator","HBIPS.2_Overall_Rate_Per_1000","HBIPS.2_Overall_Num","HBIPS.2_Overall_Den","HBIPS.3_Overall_Rate_Per_1000","HBIPS.3_Overall_Num","HBIPS.3_Overall_Den","HBIPS.5_Overall_._of_Total","HBIPS.5_Overall_Num","HBIPS.5_Overall_Den","SUB.1_.","SUB.1_Numerator","SUB.1_Denominator","SUB.2_.","SUB.2_Numerator","SUB.2_Denominator","SUB.2a_.","SUB.2a_Numerator","SUB.2a_Denominator","TOB.1_.","TOB.1_Numerator","TOB.1_Denominator","TOB.2_.","TOB.2_Numerator","TOB.2_Denominator","TOB.2a_.","TOB.2a_Numerator","TOB.2a_Denominator","TOB.3_.","TOB.3_Numerator","TOB.3_Denominator","TOB.3a_.","TOB.3a_Numerator","TOB.3a_Denominator","PEoC_Assessed_Response","EHR_Use_Response","HIE_Response","IMM.2_.","IMM.2_Numerator","IMM.2_Denominator","HCP_.","HCP_Numerator","HCP_Denominator"
"1",10007,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","0","Not Available","0","0","100.00%","15","15","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","242","242","100.00%","62","62","66.13%","41","62","0.00%","0","70","0.00%","0","70","Yes","Paper or Other Form","No","Not Available","Not Available","Not Available","41%","13","32"
"2",10008,"54.26","51","94","Not Available","Not Available","Not Available","0.09","12.15","5759","0.02","2.8","5759","100.00%","219","219","99.15%","581","586","52.14%","73","140","38.57%","54","140","99.49%","583","586","89.14%","361","405","49.88%","202","405","68.73%","222","323","27.24%","88","323","No","Paper or Other Form","No","87.93%","255","290","60%","31","52"
"3",10011,"67.74","21","31","35.48","11","31","0.00","0","10671","0.00","1.25","10671","0.00%","0","45","27.30%","89","326","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","92.86%","312","336","37.50%","18","48","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","36","No","Paper or Other Form","No","69.09%","114","165","60%","106","176"
"4",10012,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","2990","0.00","0","2990","Not Available","Not Available","Not Available","99.52%","208","209","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","205","205","91.43%","32","35","80.00%","28","35","Not Available","Not Available","Not Available","0.00%","0","12","No","Paper or Other Form","No","100.00%","88","88","100%","43","43"
"5",10016,"48.06","62","129","20.93","27","129","0.03","12.47","17906","0.02","8.98","17906","Not Available","Not Available","Not Available","99.49%","581","584","96.52%","111","115","91.30%","105","115","100.00%","602","602","96.19%","303","315","89.84%","283","315","97.20%","278","286","97.20%","278","286","Yes","Paper or Other Form","Yes","100.00%","317","317","96%","81","84"
"6",10021,"56.45","35","62","33.87","21","62","0.00","0","3127","1.72","129.32","3127","85.71%","36","42","100.00%","219","219","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","189","189","100.00%","35","35","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","20.29%","14","69","100%","20","20"
"7",10023,"35.64","67","188","15.96","30","188","0.04","13.78","14334","0.02","5.92","14334","17.33%","13","75","95.04%","1189","1251","80.49%","198","246","76.02%","187","246","99.49%","1546","1554","83.47%","717","859","73.92%","635","859","56.98%","461","809","5.93%","48","809","No","Paper or Other Form","No","94.80%","802","846","97%","359","371"
"8",10033,"51.28","60","117","29.91","35","117","0.25","174.58","29342","1.36","958.32","29342","100.00%","19","19","98.39%","427","434","100.00%","101","101","100.00%","101","101","97.87%","460","470","79.23%","225","284","10.21%","29","284","6.83%","17","249","Not Available","Not Available","Not Available","Yes","Paper or Other Form","Yes","96.06%","268","279","35%","78","226"
"9",10034,"61.90","13","21","Not Available","Not Available","Not Available","0.00","0","2519","0.00","0","2519","Not Available","Not Available","Not Available","94.01%","157","167","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","78.00%","117","150","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"10",10039,"41.88","67","160","20.00","32","160","0.00","0","6534","0.00","0","6534","81.25%","13","16","98.47%","321","326","100.00%","52","52","100.00%","52","52","99.55%","447","449","89.42%","186","208","83.17%","173","208","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","No","99.33%","297","299","72%","51","71"
"11",10040,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","3436","0.00","0","3436","Not Available","Not Available","Not Available","100.00%","231","231","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","240","240","100.00%","47","47","Not Available","Not Available","Not Available","75.00%","12","16","0.00%","0","16","No","Paper or Other Form","No","100.00%","127","127","Not Available","Not Available","Not Available"
"12",10046,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","2744","0.00","0","2744","Not Available","Not Available","Not Available","97.74%","173","177","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98.90%","180","182","72.73%","24","33","63.64%","21","33","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","98.57%","69","70","61%","269","439"
"13",10062,"60.00","24","40","Not Available","Not Available","Not Available","0.00","0","3471","0.00","0","3471","Not Available","Not Available","Not Available","97.14%","238","245","56.52%","13","23","56.52%","13","23","97.55%","239","245","59.62%","31","52","59.62%","31","52","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","41.51%","22","53","76%","29","38"
"14",10069,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","0","Not Available","0","0","100.00%","18","18","100.00%","230","230","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","230","230","100.00%","128","128","100.00%","128","128","100.00%","128","128","100.00%","128","128","No","Certified EHR Technology","Yes","94.27%","148","157","46%","12","26"
