"","Provider.ID","Hospital.name","PAYM_30_AMI","PAYM_30_HF","PAYM_30_PN","PAYM_90_HIP_KNEE"
"1",10001,"SOUTHEAST ALABAMA MEDICAL CENTER","$22,178","$16,525","$17,230","$26,863"
"2",10005,"MARSHALL MEDICAL CENTER SOUTH","$22,133","$16,321","$15,882","$23,545"
"3",10006,"ELIZA COFFEE MEMORIAL HOSPITAL","$22,682","$15,465","$17,023","$24,387"
"4",10007,"MIZELL MEMORIAL HOSPITAL","Not Available","$13,674","$14,645","$24,231"
"5",10008,"CRENSHAW COMMUNITY HOSPITAL","Not Available","Not Available","$14,699","Not Available"
"6",10011,"ST VINCENT'S EAST","$23,900","$15,946","$17,656","$23,861"
"7",10012,"DEKALB REGIONAL MEDICAL CENTER","$23,368","$15,938","$17,090","Not Available"
"8",10016,"SHELBY BAPTIST MEDICAL CENTER","$22,668","$16,658","$17,115","$23,283"
"9",10018,"CALLAHAN EYE HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"10",10019,"HELEN KELLER MEMORIAL HOSPITAL","$22,166","$16,271","$17,392","$23,870"
"11",10021,"DALE MEDICAL CENTER","Not Available","$16,503","$17,207","$23,141"
"12",10022,"CHEROKEE MEDICAL CENTER","Not Available","$16,814","$14,129","Not Available"
"13",10023,"BAPTIST MEDICAL CENTER SOUTH","$22,007","$16,705","$18,688","$22,207"
"14",10024,"JACKSON HOSPITAL & CLINIC INC","$24,419","$16,683","$17,710","$23,562"
"15",10029,"EAST ALABAMA MEDICAL CENTER","$22,508","$14,167","$16,053","$21,053"
"16",10032,"WEDOWEE HOSPITAL","Not Available","$18,348","$14,899","Not Available"
"17",10033,"UNIVERSITY OF ALABAMA HOSPITAL","$20,196","$15,933","$17,545","$24,341"
"18",10034,"COMMUNITY HOSPITAL INC","Not Available","$15,277","$17,872","Not Available"
"19",10035,"CULLMAN REGIONAL MEDICAL CENTER","$21,390","$15,111","$17,113","$21,582"
"20",10036,"ANDALUSIA REGIONAL HOSPITAL","$22,218","$13,670","$15,518","$21,911"
"21",10038,"STRINGFELLOW MEMORIAL HOSPITAL","$23,850","$16,651","$15,717","$24,016"
"22",10039,"HUNTSVILLE HOSPITAL","$22,338","$16,333","$16,787","$21,675"
"23",10040,"GADSDEN REGIONAL MEDICAL CENTER","$21,954","$17,144","$18,074","$25,202"
"24",10044,"MARION REGIONAL MEDICAL CENTER","Not Available","$15,030","$15,457","Not Available"
"25",10045,"FAYETTE MEDICAL CENTER","Not Available","$14,143","$14,738","Not Available"
"26",10046,"RIVERVIEW REGIONAL MEDICAL CENTER","$24,336","$15,391","$18,096","$24,384"
"27",10047,"GEORGIANA MEDICAL CENTER","Not Available","Not Available","$13,791","Not Available"
"28",10049,"MEDICAL CENTER ENTERPRISE","Not Available","$14,599","$15,003","$22,829"
"29",10051,"GREENE COUNTY HOSPITAL","Not Available","$14,241","$15,673","Not Available"
"30",10052,"LAKE MARTIN COMMUNITY HOSPITAL","Not Available","$14,236","$13,438","Not Available"
"31",10055,"FLOWERS HOSPITAL","$21,570","$15,286","$16,588","$25,398"
"32",10056,"ST VINCENT'S BIRMINGHAM","$23,104","$16,878","$17,036","$22,707"
"33",10058,"BIBB MEDICAL CENTER","Not Available","$15,375","$14,321","Not Available"
"34",10059,"LAWRENCE MEDICAL CENTER","Not Available","$15,423","$16,828","Not Available"
"35",10061,"HIGHLANDS MEDICAL CENTER","Not Available","$14,369","$14,465","$24,717"
"36",10062,"WIREGRASS MEDICAL CENTER","Not Available","$13,832","$14,818","Not Available"
"37",10065,"RUSSELL HOSPITAL","$23,486","$17,238","$19,034","$25,803"
"38",10069,"MEDICAL CENTER BARBOUR","Not Available","$13,962","$13,055","Not Available"
"39",10073,"CLAY COUNTY HOSPITAL","Not Available","$13,766","$14,683","Not Available"
"40",10078,"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","$24,704","$14,993","$16,599","$24,259"
"41",10079,"ATHENS LIMESTONE HOSPITAL","Not Available","$14,822","$15,634","$23,114"
"42",10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER","$23,761","$15,437","$14,807","$21,267"
"43",10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","$22,493","$14,544","$15,670","$22,797"
"44",10086,"NORTHWEST MEDICAL CENTER","Not Available","$14,481","$14,090","Not Available"
"45",10087,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","Not Available","$15,200","$17,200","Not Available"
