"Hospital.Name","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8","OP_9"
"ABBEVILLE AREA MEDICAL CENTER",421301,"7.9","Not Available","Not Available","Not Available","Not Available","9.0"
"ABBEVILLE GENERAL HOSPITAL",190034,"15.8","0.5","Not Available","Not Available","52.9","7.1"
"ABBOTT NORTHWESTERN HOSPITAL",240057,"5.5","0.2","1.8","3.9","50.9","6.8"
"ABILENE REGIONAL MEDICAL CENTER",450558,"7.5","0.3","2.8","Not Available","46.0","9.4"
"ABINGTON MEMORIAL HOSPITAL",390231,"5.2","1.8","4.8","0.8","41.8","6.6"
"ABRAHAM LINCOLN MEMORIAL HOSPITAL",141322,"8.0","0.0","Not Available","1.4","Not Available","5.5"
"ABRAZO ARROWHEAD CAMPUS",30094,"1.8","0.0","1.6","1.8","Not Available","6.0"
"ABRAZO CENTRAL CAMPUS",30030,"1.1","Not Available","Not Available","0.0","Not Available","5.6"
"ABRAZO MARYVALE CAMPUS",30001,"0.0","Not Available","Not Available","Not Available","Not Available","Not Available"
"ABRAZO SCOTTSDALE CAMPUS",30083,"0.0","Not Available","Not Available","Not Available","Not Available","Not Available"
"ABRAZO WEST CAMPUS",30110,"1.3","2.2","Not Available","1.9","Not Available","Not Available"
"ABROM KAPLAN MEMORIAL HOSPITAL",191322,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ACADIA GENERAL HOSPITAL",190044,"26.7","28.3","Not Available","Not Available","39.7","5.6"
"ACADIA ST LANDRY",191319,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ACMH HOSPITAL",390163,"5.7","0.4","4.9","Not Available","Not Available","12.3"
"AD HOSPITAL EAST, LLC",670102,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADAIR COUNTY MEMORIAL HOSPITAL",161310,"18.5","Not Available","Not Available","Not Available","Not Available","2.5"
"ADAMS COUNTY REGIONAL MEDICAL CENTER",361326,"5.3","5.1","4.3","1.5","Not Available","6.9"
"ADAMS MEMORIAL HOSPITAL",151330,"3.8","1.1","5.1","1.2","Not Available","7.6"
"ADCARE HOSPITAL OF WORCESTER INC",220062,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADENA PIKE MEDICAL CENTER",361334,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADENA REGIONAL MEDICAL CENTER",360159,"1.8","0.2","2.8","0.5","39.4","6.1"
"ADIRONDACK MEDICAL CENTER",330079,"4.4","2.1","6.5","0.5","Not Available","24.9"
"ADMIN DE SERVICIOS MEDICOS  PUERTO RIC",400127,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADVANCED SURGICAL HOSPITAL",390323,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADVENTIST BOLINGBROOK HOSPITAL",140304,"10.3","5.2","0.8","1.8","42.9","14.4"
"ADVENTIST GLENOAKS",140292,"0.9","0.0","2.2","Not Available","Not Available","17.1"
"ADVENTIST HEALTH BAKERSFIELD",50455,"40.3","0.3","6.1","1.7","45.8","14.2"
"ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY",51301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADVENTIST HEALTH SIMI VALLEY",50236,"5.1","0.3","Not Available","1.6","Not Available","9.1"
"ADVENTIST HEALTH SONORA",50335,"6.3","0.1","4.6","0.7","36.8","6.4"
"ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER",210057,"9.2","0.0","Not Available","1.6","Not Available","Not Available"
"ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL",210016,"1.6","1.6","2.0","2.7","Not Available","13.2"
"ADVENTIST HINSDALE HOSPITAL",140122,"9.0","11.7","4.9","1.6","33.3","9.8"
"ADVENTIST LA GRANGE MEMORIAL HOSPITAL",140065,"4.2","9.4","4.1","2.9","39.8","9.5"
"ADVENTIST MEDICAL CENTER",50121,"25.4","28.8","Not Available","1.7","17.9","10.2"
"ADVENTIST MEDICAL CENTER",380060,"9.0","0.0","2.2","Not Available","43.5","6.2"
"ADVENTIST MEDICAL CENTER - REEDLEY",50192,"10.0","9.6","Not Available","0.5","Not Available","8.9"
"ADVOCATE BROMENN MEDICAL CENTER",140127,"16.3","11.2","5.5","Not Available","48.6","4.3"
"ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER",140208,"3.4","1.7","3.5","0.9","35.8","7.9"
"ADVOCATE CONDELL MEDICAL CENTER",140202,"3.2","0.8","8.2","0.6","38.2","5.6"
"ADVOCATE EUREKA  HOSPITAL",141309,"16.1","Not Available","Not Available","0.0","Not Available","7.3"
"ADVOCATE GOOD SAMARITAN HOSPITAL",140288,"2.2","0.2","8.3","2.2","42.2","11.7"
"ADVOCATE GOOD SHEPHERD HOSPITAL",140291,"2.6","0.5","5.6","1.8","39.8","14.0"
"ADVOCATE ILLINOIS MASONIC MEDICAL CENTER",140182,"3.1","0.0","8.4","Not Available","31.7","12.3"
"ADVOCATE LUTHERAN GENERAL HOSPITAL",140223,"2.8","0.4","5.7","1.6","34.9","6.7"
"ADVOCATE SOUTH SUBURBAN HOSPITAL",140250,"2.1","2.0","5.3","1.1","33.3","8.7"
"ADVOCATE TRINITY HOSPITAL",140048,"1.0","1.2","1.9","0.4","Not Available","6.6"
"AFFINITY MEDICAL CENTER",360151,"2.1","0.0","4.2","Not Available","Not Available","8.4"
"AHMC ANAHEIM REGIONAL MEDICAL CENTER",50226,"9.7","0.0","Not Available","1.0","Not Available","12.3"
"AIKEN REGIONAL MEDICAL CENTER",420082,"3.8","0.2","3.9","1.1","40.4","3.3"
"AKRON CHILDREN'S HOSPITAL",363303,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AKRON GENERAL MEDICAL CENTER",360027,"4.6","0.3","7.3","1.6","41.5","9.6"
"ALAMANCE REGIONAL MEDICAL CENTER",340070,"6.7","0.0","1.4","1.1","34.8","9.3"
"ALAMEDA HOSPITAL",50211,"6.4","0.0","Not Available","0.5","Not Available","5.5"
"ALASKA NATIVE MEDICAL CENTER",20026,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALASKA REGIONAL HOSPITAL",20017,"9.2","0.0","Not Available","0.5","Not Available","10.3"
"ALBANY MEDICAL CENTER HOSPITAL",330013,"5.8","0.0","5.3","1.4","Not Available","14.2"
"ALBANY MEMORIAL HOSPITAL",330003,"8.2","2.7","Not Available","Not Available","Not Available","14.1"
"ALBERT EINSTEIN MEDICAL CENTER",390142,"6.1","3.8","7.5","1.0","36.3","5.5"
"ALEXIAN BROTHERS MEDICAL CENTER 1",140258,"6.9","1.5","4.5","1.8","44.6","6.6"
"ALFRED I DUPONT HOSPITAL FOR CHILDREN",83300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALHAMBRA HOSPITAL MEDICAL CENTER",50281,"6.3","2.6","Not Available","Not Available","Not Available","Not Available"
"ALICE HYDE MEDICAL CENTER",330084,"5.3","0.0","6.3","1.3","36.5","9.6"
"ALICE PECK DAY MEMORIAL HOSPITAL",301305,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALL CHILDREN'S HOSPITAL, INC",103300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLEGAN GENERAL HOSPITAL",231328,"2.8","1.2","1.4","Not Available","Not Available","13.0"
"ALLEGHANY COUNTY MEMORIAL HOSPITAL",341320,"4.1","0.0","Not Available","Not Available","Not Available","1.1"
"ALLEGHENY GENERAL HOSPITAL",390050,"13.7","3.8","6.9","2.0","48.9","11.5"
"ALLEGHENY VALLEY HOSPITAL",390032,"17.2","0.0","2.9","Not Available","Not Available","21.0"
"ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE",450488,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLEN COUNTY REGIONAL HOSPITAL",171373,"12.2","3.0","Not Available","Not Available","Not Available","2.2"
"ALLEN HOSPITAL",160110,"6.2","0.0","4.9","1.2","26.6","16.4"
"ALLEN PARISH HOSPITAL",190133,"34.8","Not Available","Not Available","9.6","Not Available","Not Available"
"ALLENDALE COUNTY HOSPITAL",421300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLIANCE COMMUNITY HOSPITAL",360131,"17.4","5.6","8.5","0.6","Not Available","5.7"
