"Hospital.Name","Provider.ID","ED_1b","ED_2b","EDV","IMM_2","IMM_3_OP_27_FAC_ADHPCT","OP_1","OP_18b","OP_2","OP_20","OP_21","OP_22","OP_23","OP_29","OP_30","OP_31","OP_33","OP_3b","OP_4","OP_5","PC_01","VTE_6"
"ABBEVILLE AREA MEDICAL CENTER",421301,"198","38","Low (0 - 19,999 patients annually)","99","76","Not Available","96","Not Available","27","64","1","Not Available","100","100","Not Available","Not Available","Not Available","94","5","Not Available","Not Available"
"ABBEVILLE GENERAL HOSPITAL",190034,"268","99","Low (0 - 19,999 patients annually)","96","76","Not Available","99","Not Available","19","34","1","57","91","100","Not Available","Not Available","Not Available","100","10","0","Not Available"
"ABBOTT NORTHWESTERN HOSPITAL",240057,"263","145","High (40,000 - 59,999 patients annually)","98","73","Not Available","178","Not Available","21","45","3","Not Available","Not Available","100","Not Available","66","Not Available","79","11","5","4"
"ABILENE REGIONAL MEDICAL CENTER",450558,"296","98","Medium (20,000 - 39,999 patients annually)","98","89","Not Available","152","Not Available","23","77","4","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","4","Not Available"
"ABINGTON MEMORIAL HOSPITAL",390231,"352","166","Very High (60,000+ patients annually)","100","99","Not Available","180","Not Available","22","50","1","Not Available","90","82","Not Available","87","Not Available","Not Available","Not Available","0","0"
"ABRAHAM LINCOLN MEMORIAL HOSPITAL",141322,"253","60","Low (0 - 19,999 patients annually)","100","98","Not Available","100","Not Available","12","40","1","73","Not Available","Not Available","Not Available","Not Available","24","97","5","Not Available","Not Available"
"ABRAZO ARROWHEAD CAMPUS",30094,"289","149","High (40,000 - 59,999 patients annually)","97","91","Not Available","148","Not Available","30","30","0","77","93","100","Not Available","Not Available","Not Available","97","5","2","0"
"ABRAZO CENTRAL CAMPUS",30030,"276","172","High (40,000 - 59,999 patients annually)","98","92","Not Available","127","Not Available","25","50","1","Not Available","92","100","Not Available","Not Available","Not Available","100","3","0","Not Available"
"ABRAZO MARYVALE CAMPUS",30001,"270","135","High (40,000 - 59,999 patients annually)","97","91","Not Available","132","Not Available","22","36","1","Not Available","92","100","Not Available","Not Available","132","96","4","0","Not Available"
"ABRAZO SCOTTSDALE CAMPUS",30083,"271","159","Medium (20,000 - 39,999 patients annually)","98","74","Not Available","130","Not Available","25","43","1","81","93","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"ABRAZO WEST CAMPUS",30110,"250","157","High (40,000 - 59,999 patients annually)","98","74","Not Available","121","Not Available","24","35","1","87","97","100","Not Available","Not Available","Not Available","95","8","28","0"
"ABROM KAPLAN MEMORIAL HOSPITAL",191322,"230","42","Not Available","96","97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ACADIA GENERAL HOSPITAL",190044,"184","38","Medium (20,000 - 39,999 patients annually)","99","91","Not Available","88","Not Available","23","34","2","Not Available","66","91","Not Available","Not Available","Not Available","100","14","Not Available","Not Available"
"ACADIA ST LANDRY",191319,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ACMH HOSPITAL",390163,"220","50","Medium (20,000 - 39,999 patients annually)","98","94","Not Available","102","Not Available","16","36","0","79","99","98","Not Available","Not Available","Not Available","100","4","0","0"
